rewardvalue,mailertype,incomelevel,creditratingvalue,Credit Cards Held,Household Size,Average Balance,Offer Accepted
1,0,0,0,2,3,886.25,No
1,0,0,0,1,3,259,No
3,1,0,0,2,1,1215.75,Yes
0,1,1,1,2,3,258.75,No
0,1,3,2,4,4,1056.25,No
1,1,3,1,2,5,845,No
1,0,1,2,1,4,444.75,No
0,0,1,1,2,4,663,No
0,0,0,2,2,4,820,No
3,0,1,2,1,3,947.75,No
1,0,1,0,2,3,1466.75,No
0,1,0,0,3,5,1405,No
3,1,0,0,2,4,1687.25,No
3,1,1,2,2,2,977.75,No
3,0,1,1,1,4,1293.5,No
0,1,1,1,3,4,1035.25,No
3,1,0,2,3,2,973,No
3,1,0,2,3,5,177.25,No
0,0,1,0,2,3,1027.75,No
0,1,3,2,1,4,764.75,No
3,1,1,1,2,4,1046.75,No
1,0,1,1,1,4,237.5,No
1,1,1,2,1,3,1325.75,No
3,1,1,1,1,4,865.25,No
0,0,0,1,1,3,977,No
0,1,3,0,2,3,753.75,No
0,0,1,1,4,3,1008.75,No
0,1,3,1,3,3,208.25,No
3,0,3,2,2,2,1016.5,No
0,1,1,0,2,6,1039,No
3,1,1,1,2,3,1252,No
0,1,1,1,1,4,816.75,No
3,0,1,0,1,4,1066,No
1,1,0,0,2,3,1097.5,Yes
0,0,0,0,2,4,1014.5,No
3,0,3,2,1,2,1174,No
3,0,1,2,1,4,817,No
3,0,3,0,2,3,986.75,No
3,0,1,2,1,3,920.25,No
0,0,1,1,2,4,715.75,No
3,1,1,1,1,2,203,No
0,1,3,0,1,5,1245.5,No
3,1,1,2,1,2,1173.5,No
0,0,3,0,1,5,1007.25,No
3,1,1,2,1,5,308,No
0,0,0,1,3,3,330.25,No
1,0,3,0,2,4,370.25,No
0,1,3,1,2,4,946.5,No
3,0,1,0,1,5,1028.75,No
1,1,0,2,1,5,274,No
0,0,0,2,2,4,1021,No
3,1,3,2,2,6,255.25,No
1,1,3,1,2,4,1101,No
1,1,0,2,3,2,896.75,No
0,1,1,2,1,4,898.75,No
0,1,1,2,2,4,1070,Yes
1,1,1,0,3,4,1037.25,No
3,1,0,2,3,2,1258.75,No
0,0,3,1,2,5,1351.5,No
1,0,0,0,3,3,1166.75,No
3,0,0,1,2,5,303,No
1,0,0,2,2,3,976,No
3,1,0,0,2,4,960.75,No
1,0,0,0,1,4,1000.25,No
1,1,1,0,2,5,1053,No
3,0,1,0,2,4,912.5,No
1,0,1,0,1,4,259.5,No
3,0,3,1,1,4,1232.5,No
1,1,0,1,3,3,140.75,No
1,1,1,0,2,5,1058.25,No
3,0,1,2,1,4,939.75,No
0,0,1,0,2,5,1059.25,No
1,0,1,2,1,5,1042.25,No
0,0,0,0,2,2,755.75,No
0,1,3,0,4,4,1110.5,No
3,0,0,2,2,5,997.75,No
0,1,3,0,3,4,945.25,No
3,1,1,1,2,3,895,No
0,0,0,1,2,4,1004.75,No
3,1,0,2,2,3,1210.5,No
1,1,0,0,2,3,953.75,No
0,1,0,1,3,6,930.5,No
0,0,1,1,3,3,1045.75,No
1,1,1,1,2,2,341.5,No
0,0,3,2,2,3,687,No
3,0,0,2,1,4,1223,No
1,0,0,1,2,4,620.5,No
3,1,3,0,2,2,1126.25,Yes
0,0,1,0,2,3,956.5,No
3,0,1,0,3,1,251.75,No
0,0,0,0,2,3,1241.75,No
3,1,1,0,2,3,112.75,No
0,1,3,2,2,3,1285.25,No
1,1,3,0,2,2,1062,No
1,0,3,2,2,4,1141.25,No
1,0,1,2,2,3,1133.5,No
0,1,3,0,1,4,1335.75,No
1,1,1,2,1,2,206,No
1,1,1,2,2,2,1098.25,No
3,0,1,1,2,2,1308,No
0,1,3,0,2,4,1292.25,No
0,0,3,1,2,2,1147.25,No
1,0,0,0,2,4,1035.25,No
0,1,0,0,1,3,850.75,No
0,0,1,1,1,3,675.25,No
0,0,3,1,1,4,175.75,Yes
3,1,1,0,2,5,840.25,No
1,0,3,1,2,3,225.5,No
1,1,0,0,2,2,1422.75,No
3,0,1,2,2,3,735.75,No
3,1,0,0,1,5,825.5,Yes
0,1,0,0,3,4,843,No
0,1,3,1,3,3,1006.75,No
0,1,1,0,1,4,1155,No
1,1,1,1,2,4,1045.5,No
0,1,1,0,2,3,1033.25,No
1,1,1,1,2,5,342.5,No
0,0,1,0,1,3,833.75,No
0,1,3,0,1,5,259.25,Yes
0,0,0,1,1,4,1154.75,No
1,1,0,2,3,3,732.75,No
0,0,1,1,1,2,979,No
3,1,1,2,2,5,1092,No
1,1,3,0,1,3,1082.25,No
3,1,1,1,2,3,928.5,No
0,1,3,1,2,3,985.75,Yes
0,0,0,0,2,4,1091.25,No
3,1,3,1,1,6,961.5,No
1,0,3,2,2,5,1492,No
3,1,1,2,1,4,1206.5,No
0,1,0,2,2,4,869.5,No
3,1,1,0,2,5,955.75,Yes
0,1,0,0,2,4,831.5,No
0,1,1,2,3,4,1351,No
0,1,1,0,2,4,1124,Yes
3,1,1,2,2,4,1143.5,No
1,1,1,2,1,2,235.5,No
0,1,1,1,1,5,1014.25,Yes
3,0,3,1,1,4,1034.75,No
0,1,1,0,2,3,1074.75,Yes
1,0,3,1,3,2,1611.75,No
0,0,0,1,3,3,142,No
0,1,1,1,3,3,1177.75,No
1,0,1,1,3,4,1169.5,No
0,0,1,0,2,2,1301.25,No
0,0,1,2,3,3,1403.25,No
3,0,3,2,1,2,1113,No
3,0,0,0,1,3,1175.25,No
0,1,1,2,2,3,1133.75,No
0,1,0,2,2,4,164.75,No
1,1,3,1,2,2,1343,No
3,0,1,2,3,3,931,No
0,0,1,1,1,5,1000.25,No
3,1,3,0,1,3,1015.75,Yes
0,0,1,1,2,3,931.5,No
1,1,1,1,1,4,1376.25,No
0,0,3,2,1,6,1186.25,No
3,1,0,0,2,3,970.75,Yes
0,1,1,2,1,4,1172,No
1,1,1,1,1,3,1085,No
1,0,0,0,2,4,1084,Yes
3,1,0,0,2,4,178.5,Yes
0,1,3,2,1,4,1664.25,No
0,0,0,1,2,2,1021.5,No
1,1,3,2,2,3,1047.75,No
1,0,3,1,3,4,984.5,No
3,1,1,0,2,6,1489.25,No
3,0,1,0,2,3,678.25,No
1,1,0,0,2,3,964,No
3,0,0,0,2,6,140,Yes
1,0,1,0,2,4,951.25,No
3,1,0,0,2,4,987.25,No
3,0,1,1,1,3,1087.75,No
0,0,1,0,1,4,249,No
1,0,1,1,1,4,903,No
3,0,1,1,2,4,1023.5,No
0,0,3,1,1,3,959.75,No
3,1,1,1,2,1,892.75,No
1,0,3,1,3,3,268,No
1,1,1,0,3,3,1073.5,No
0,1,1,2,1,4,1127.75,No
1,1,1,0,1,3,308,No
1,1,1,2,2,4,671,No
3,1,1,0,1,2,758.75,No
3,1,1,1,2,4,1228,No
3,0,0,0,2,4,655.75,No
0,1,1,1,2,3,136,No
3,1,1,2,2,2,1219.75,No
3,1,3,1,2,5,1312.5,No
3,1,3,2,2,5,844,No
0,1,1,1,2,4,288.5,No
0,1,3,0,1,3,954.75,No
3,1,1,0,1,3,1195.5,No
3,0,1,0,2,3,850.5,No
0,0,1,1,2,3,1139,No
3,0,0,2,1,3,825.25,No
1,1,1,0,2,4,1065.25,No
0,1,1,1,2,4,926.5,No
3,1,1,2,2,3,962.25,No
1,1,0,2,1,3,642.5,No
0,1,3,0,2,5,1245.75,No
3,1,1,2,3,3,927.75,No
1,0,1,2,1,5,1149.25,No
0,1,3,1,2,4,893.25,No
1,1,1,1,2,5,1004.75,No
0,1,3,1,1,5,932,No
0,1,1,2,4,4,947,No
3,0,3,2,2,4,841.5,No
3,0,3,1,2,3,247.75,No
0,0,1,0,3,3,305.75,No
1,1,1,2,3,3,978.75,Yes
0,1,1,1,2,4,1232.75,No
3,1,1,0,2,3,719.5,No
3,1,1,0,4,3,1349.75,No
1,1,3,0,2,4,1221.25,No
0,0,0,0,2,4,927.5,No
0,0,3,0,3,4,240,No
1,1,0,2,3,4,350.75,No
0,1,1,2,2,2,932.75,No
1,0,1,1,1,3,980,No
3,0,1,0,2,3,259.75,Yes
3,0,3,1,1,4,280.25,No
1,1,1,1,2,3,1193.75,No
0,1,0,1,1,2,1067.75,No
1,1,1,2,2,5,1542,No
1,1,1,0,1,5,947,No
3,1,1,1,2,3,738.75,No
0,0,1,1,2,5,1153.75,No
3,1,1,1,2,5,755.5,No
3,0,0,1,2,3,1309.5,No
0,1,0,1,2,5,962.5,No
0,0,1,0,1,4,762,No
0,1,1,0,3,4,1246,Yes
3,1,1,1,1,2,865.25,No
3,1,1,1,2,2,1341.5,No
3,0,0,0,2,3,696.25,No
3,1,0,1,1,3,1087,No
0,1,3,2,1,3,1240,No
1,1,1,0,3,3,1002.5,Yes
1,1,0,0,1,4,1014.5,No
1,1,1,1,4,2,909,No
1,1,0,2,2,4,1059.75,No
1,1,3,0,1,3,1339.5,No
1,0,3,0,1,4,1226,No
3,0,3,0,3,3,1167.25,No
3,1,1,1,4,2,1351,No
1,0,1,0,1,3,823.75,No
1,1,0,1,1,3,998,Yes
3,1,3,2,2,2,1059.75,No
0,1,1,2,1,3,887.5,No
3,1,0,2,1,2,1209,No
0,0,0,1,2,3,1073,Yes
1,1,1,0,1,4,1152.25,No
3,1,3,1,2,1,964.5,No
1,1,3,2,2,2,952.25,No
0,0,1,0,2,4,1096.5,No
1,0,1,0,2,5,1105.75,No
1,1,1,1,2,4,906.75,No
1,1,3,2,1,4,1143,No
1,0,1,0,2,3,1235.5,No
3,1,3,2,2,3,1305.75,No
1,1,3,1,3,3,874.25,No
3,0,1,2,3,1,1333.25,No
3,0,1,1,2,5,313.75,No
1,0,1,2,2,4,198,No
