Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,Bank Accounts Open,Overdraft Protection,Credit Rating,Credit Cards Held,Homes Owned,Household Size,Own Your Home,Average Balance
47,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1040.25
48,No,Air Miles,Letter,Low,1,Yes,High,2,1,3,No,987
49,No,Air Miles,Postcard,Medium,1,No,Low,1,2,3,No,822
50,No,Points,Letter,Medium,2,Yes,High,1,1,5,Yes,650.5
51,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75
52,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,988
53,No,Points,Letter,Medium,1,No,Medium,1,1,4,No,1145.5
54,No,Points,Postcard,Medium,3,No,Low,1,1,4,No,1162.5
55,No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,954.25
56,No,Points,Postcard,High,1,No,Medium,4,2,5,Yes,1301.25
57,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1148.75
58,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75
59,No,Cash Back,Postcard,Medium,1,No,High,2,3,2,Yes,1195.5
60,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1351.5
61,No,Cash Back,Postcard,Medium,2,No,High,1,1,4,No,1062.25
62,No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,1147.25
63,No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,1308.5
64,No,Cash Back,Postcard,Medium,2,No,High,2,1,2,No,363
65,No,Cash Back,Letter,Medium,1,No,Low,1,2,4,Yes,929.5
66,No,Cash Back,Postcard,Low,1,No,Low,2,1,2,No,718
67,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1193.25
68,No,Air Miles,Letter,Medium,1,No,Medium,3,1,2,Yes,957.75
69,No,Points,Postcard,Medium,2,No,Low,2,1,4,No,1050
70,No,Points,Postcard,Medium,2,No,High,2,1,5,Yes,1266.5
71,No,Air Miles,Postcard,Medium,1,No,High,4,1,2,Yes,1124.75
72,No,Air Miles,Letter,High,3,No,High,2,2,1,No,1059.75
73,No,Cash Back,Postcard,Medium,1,No,High,1,1,1,No,1014.25
74,No,Air Miles,Letter,Low,1,No,High,1,1,3,Yes,891.25
75,Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5
76,No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,No,1023.5
77,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5
78,No,Cash Back,Letter,High,1,No,Low,1,1,3,Yes,731.5
79,No,Points,Postcard,Low,1,No,Medium,2,1,2,No,793.5
80,No,Cash Back,Postcard,Medium,2,No,Low,1,1,3,Yes,1735.5
81,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,970.5
82,No,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,995.25
83,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,904
84,No,Cash Back,Postcard,High,2,No,High,1,1,5,Yes,1128.5
85,No,Air Miles,Postcard,Medium,3,No,Medium,2,1,3,Yes,1102.75
86,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,976.25
87,No,Air Miles,Letter,Medium,2,No,High,2,1,5,Yes,839.75
88,No,Points,Postcard,Medium,1,No,Medium,2,1,4,No,1293
89,No,Cash Back,Postcard,Medium,2,No,High,2,1,5,Yes,819.5
90,No,Air Miles,Postcard,Medium,2,No,Low,2,2,3,Yes,1094.5
91,No,Points,Postcard,Low,1,Yes,Low,1,1,2,Yes,1247.25
92,No,Air Miles,Letter,Medium,1,No,High,3,1,3,Yes,167
93,No,Cash Back,Letter,Medium,1,No,High,3,1,2,Yes,1144.75
94,No,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,909.75
95,No,Cash Back,Postcard,Medium,1,Yes,Low,3,1,3,Yes,976.25
96,No,Points,Postcard,Low,2,No,Medium,2,3,4,Yes,741
97,No,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1343.75
98,Yes,Points,Letter,Low,2,No,Low,3,1,3,Yes,1454.5
99,No,Air Miles,Letter,Medium,1,No,Medium,1,1,4,No,1791.25
100,No,Points,Letter,Low,2,Yes,Medium,1,1,3,Yes,1185.75
101,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1210.75
102,Yes,Points,Postcard,High,1,Yes,Low,1,1,9,No,161.5
103,No,Cash Back,Letter,Low,1,Yes,High,1,1,2,Yes,1033.75
104,No,Cash Back,Letter,High,2,No,Low,2,1,5,Yes,963
105,No,Cash Back,Postcard,Medium,1,No,High,2,3,5,Yes,1025.75
106,No,Points,Letter,Low,1,No,High,1,1,5,Yes,1071.75
107,No,Cash Back,Letter,Low,1,No,Low,2,2,3,Yes,1039.5
108,No,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,979.25
109,No,Points,Postcard,High,1,No,High,2,1,1,Yes,905.5
110,No,Cash Back,Letter,High,1,Yes,Medium,2,1,5,Yes,924
111,No,Cash Back,Postcard,Low,1,No,Low,1,1,2,Yes,1061.75
112,No,Points,Postcard,Medium,1,Yes,Medium,3,2,1,No,816.5
113,Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5
114,No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,Yes,928.25
115,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1397.25
116,No,Points,Postcard,Low,2,No,Low,1,2,5,No,1034.5
117,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,738.5
118,No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,1251.5
119,No,Points,Postcard,Low,1,No,High,1,1,5,Yes,1153.75
120,No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,864
121,No,Cash Back,Letter,Medium,1,No,High,3,1,2,No,1155.5
122,No,Cash Back,Postcard,High,1,No,High,1,2,5,No,1090.5
123,No,Cash Back,Letter,Low,1,No,Medium,2,1,4,No,1090.5
124,No,Air Miles,Letter,Low,1,No,Low,2,1,3,Yes,773.75
125,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1052
126,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,944.25
127,No,Points,Letter,Medium,1,No,High,1,2,4,No,1147.25
128,No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,1159.5
129,No,Air Miles,Postcard,High,1,No,High,1,1,3,No,836.5
130,No,Cash Back,Letter,Medium,2,No,Medium,2,1,3,Yes,1057.75
131,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,5,No,714.75
132,Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5
133,No,Cash Back,Letter,Medium,1,No,High,2,1,3,No,865.75
134,No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,887.25
135,No,Cash Back,Letter,High,1,No,Medium,2,1,5,No,1791.75
136,No,Points,Postcard,High,1,No,High,2,1,3,Yes,1083
137,No,Points,Letter,Medium,2,No,Low,1,1,2,Yes,212.5
138,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,877.75
139,No,Air Miles,Letter,Medium,1,No,High,2,1,3,No,691.5
140,No,Air Miles,Postcard,Low,2,No,Medium,2,2,4,Yes,814.5
141,No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,955.5
142,No,Cash Back,Letter,High,1,No,High,2,1,4,Yes,1281.5
143,No,Air Miles,Letter,High,1,Yes,Low,2,1,3,Yes,937.5
144,No,Points,Letter,Medium,3,Yes,Medium,2,1,3,Yes,919.75
145,No,Points,Postcard,Medium,3,Yes,High,1,1,3,Yes,879.75
146,No,Points,Letter,Medium,1,Yes,Low,4,1,4,No,1181
147,No,Air Miles,Postcard,Low,1,No,Medium,1,2,3,No,1153.5
148,No,Points,Postcard,High,1,No,High,2,1,4,Yes,794.25
149,No,Points,Postcard,Medium,1,Yes,Low,3,1,4,Yes,927.25
150,No,Points,Letter,Medium,1,No,Medium,3,1,2,No,1809
151,No,Cash Back,Letter,Low,1,No,Medium,1,1,5,No,1156.25
152,No,Air Miles,Postcard,High,1,Yes,Low,2,1,4,No,1121.5
153,No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,1203
154,No,Points,Letter,High,2,No,Low,1,1,1,No,246.25
155,No,Air Miles,Letter,Low,2,No,Low,1,1,4,Yes,1454.75
156,No,Points,Postcard,High,1,No,Low,2,1,2,No,687
157,No,Points,Postcard,High,2,Yes,Low,1,1,3,Yes,928
158,No,Points,Postcard,High,1,No,Low,2,1,2,No,933
159,Yes,Cash Back,Postcard,Medium,3,No,Low,1,1,5,No,1133.25
160,No,Cash Back,Letter,Medium,1,No,Low,3,2,5,Yes,1301.5
161,No,Cash Back,Letter,High,2,No,Medium,1,1,2,Yes,1199
162,No,Points,Letter,Medium,2,No,Low,1,1,3,Yes,1084.25
163,No,Cash Back,Postcard,Low,1,No,High,2,1,2,No,1094.5
164,No,Points,Letter,High,1,Yes,High,1,1,3,Yes,1104
165,No,Air Miles,Letter,High,1,No,Low,1,1,4,Yes,1042.5
166,No,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,1089.75
167,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,974.25
168,No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,991.5
169,No,Points,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1204.25
170,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,No,865
171,No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,1144
172,No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,Yes,958.5
173,No,Cash Back,Letter,Medium,1,No,Low,2,2,3,Yes,1056.25
174,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,695
175,No,Cash Back,Postcard,Low,1,No,High,4,1,2,Yes,1237.5
176,No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,1034
177,No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,1246.5
178,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,998.75
179,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1028
180,No,Points,Postcard,Medium,2,No,High,2,1,2,No,320
181,No,Points,Letter,Low,2,No,High,1,2,3,Yes,91.25
182,No,Points,Letter,High,2,Yes,Medium,1,1,3,Yes,166.25
183,No,Air Miles,Letter,Medium,2,Yes,Low,3,1,2,No,240
184,No,Points,Postcard,Medium,1,No,Medium,2,1,5,No,124.75
185,No,Air Miles,Letter,High,1,No,Low,1,1,3,No,1145.75
186,No,Points,Postcard,Medium,3,No,Low,2,1,6,No,1292.5
187,No,Points,Letter,Medium,1,Yes,High,2,2,3,Yes,1186
188,No,Air Miles,Postcard,Medium,2,No,High,1,1,5,Yes,1135.25
189,No,Cash Back,Letter,Low,1,No,Low,3,1,4,Yes,1279.25
190,No,Air Miles,Postcard,High,1,No,Low,2,2,3,Yes,1162
191,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,No,954.5
192,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,1073.25
193,No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,889
194,No,Points,Letter,Medium,1,No,Low,1,1,3,No,294.25
195,No,Air Miles,Postcard,Low,2,No,Low,3,1,3,Yes,1047.5
196,No,Air Miles,Letter,Low,2,No,Low,1,1,3,Yes,661.25
197,No,Cash Back,Letter,Medium,2,No,Medium,3,1,2,Yes,158.75
198,No,Cash Back,Postcard,High,1,No,Medium,2,2,3,Yes,1059
199,No,Air Miles,Letter,Low,1,No,Medium,1,1,2,Yes,1741.75
200,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,1419.5
201,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,232.5
202,No,Points,Letter,Medium,1,No,High,2,1,3,No,1122.5
203,No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,No,1250.75
204,No,Air Miles,Letter,Medium,1,No,High,3,2,2,Yes,1057
205,No,Points,Postcard,High,1,No,Low,1,2,4,No,1195
206,No,Air Miles,Letter,Medium,2,Yes,High,1,1,3,Yes,936.25
207,No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,791.5
208,No,Cash Back,Letter,Medium,2,No,High,1,1,4,Yes,1426
209,No,Air Miles,Letter,Low,2,No,High,2,1,4,Yes,764.75
210,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,830
211,No,Air Miles,Letter,Low,1,No,High,2,1,3,No,1162.25
212,No,Cash Back,Letter,Medium,2,No,High,2,2,3,Yes,1065.5
213,No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,Yes,1022.25
214,No,Cash Back,Postcard,Medium,1,No,Low,4,1,5,Yes,1181
215,No,Air Miles,Postcard,Low,1,No,Medium,3,1,4,Yes,1764
216,No,Cash Back,Letter,Low,2,No,Low,2,2,2,No,1043.25
217,No,Points,Letter,Medium,1,No,High,2,1,3,No,1702
218,No,Air Miles,Postcard,High,1,No,Medium,2,1,4,No,856
219,No,Air Miles,Letter,Medium,1,No,Medium,2,1,5,No,390.75
220,No,Air Miles,Postcard,Low,1,No,Low,3,2,4,No,1101.5
221,No,Points,Letter,Low,1,No,Medium,2,1,4,No,1016.5
222,No,Cash Back,Letter,Medium,2,No,High,3,1,5,Yes,287.75
223,No,Cash Back,Letter,Low,1,No,Low,3,1,6,No,841.25
224,No,Cash Back,Postcard,Medium,1,No,Low,3,2,6,Yes,911.75
225,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,1141.5
226,No,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,946.25
227,No,Cash Back,Letter,Low,1,No,High,3,1,5,Yes,1190.25
228,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,924
229,No,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,823.75
230,No,Points,Postcard,Medium,1,No,High,3,1,4,No,1006
231,No,Points,Letter,Low,1,No,Low,1,1,4,Yes,1008.75
232,No,Points,Letter,Low,1,No,Medium,2,1,3,No,1128
233,No,Cash Back,Postcard,High,2,No,Low,2,1,1,Yes,1340.5
234,No,Points,Postcard,Low,1,Yes,Low,3,1,3,No,1371
235,No,Cash Back,Letter,Medium,1,No,Low,1,2,3,No,1331.25
236,No,Points,Postcard,Low,1,Yes,High,2,1,3,Yes,704.5
237,No,Air Miles,Postcard,Medium,1,No,High,1,2,3,Yes,1509
238,No,Cash Back,Postcard,High,2,No,Low,3,1,3,No,203.25
239,No,Air Miles,Postcard,High,1,No,Medium,1,1,2,Yes,1034
240,No,Air Miles,Postcard,Medium,1,No,Low,3,1,5,No,1007.25
241,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,874
242,No,Points,Letter,Medium,2,No,High,1,2,4,Yes,1148
243,No,Air Miles,Letter,High,1,No,Low,3,1,3,Yes,229.25
244,No,Points,Postcard,Medium,1,No,High,2,1,3,No,962.75
245,No,Points,Postcard,Medium,1,No,Low,4,1,5,No,1437.75
246,No,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,1281.5
247,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,1029.5
248,No,Air Miles,Postcard,Low,1,No,High,2,1,2,No,883.75
249,No,Air Miles,Letter,Medium,1,No,Low,4,2,4,No,1144.5
250,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,1117
251,Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75
252,No,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,992.5
253,No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,1065.25
254,No,Points,Postcard,Low,1,No,Low,4,1,3,No,1526
255,No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,1741.75
256,No,Cash Back,Letter,Medium,2,No,High,1,2,3,No,342.5
257,No,Air Miles,Letter,Medium,1,No,Medium,3,1,5,No,935.75
258,No,Points,Postcard,Low,1,No,Low,1,1,1,Yes,1058.5
259,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,855
260,No,Cash Back,Postcard,Medium,1,No,Medium,1,2,5,No,1263
261,No,Cash Back,Letter,Medium,2,No,Medium,1,1,6,Yes,1094.25
262,No,Air Miles,Postcard,High,1,No,High,2,1,2,No,228.25
263,No,Cash Back,Postcard,Medium,1,No,Low,1,2,3,No,1265
264,Yes,Air Miles,Postcard,Medium,1,No,Low,4,1,4,No,1034
265,No,Points,Postcard,Medium,1,No,Low,2,2,2,Yes,1210.25
266,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1150.5
267,No,Points,Postcard,Low,2,No,Medium,2,1,3,Yes,691.5
268,No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1296.25
269,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,690.5
270,No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,1161.25
271,No,Cash Back,Letter,Low,1,Yes,Low,3,1,1,Yes,874.25
272,No,Cash Back,Postcard,Low,1,No,High,2,1,2,Yes,1272.75
273,No,Air Miles,Letter,Low,2,No,Low,1,1,3,No,1028.75
274,No,Cash Back,Letter,Medium,2,No,Medium,1,1,4,No,677.25
275,No,Air Miles,Postcard,High,1,No,Low,3,1,4,No,1053.25
276,No,Points,Postcard,Low,1,No,High,1,1,3,No,1022
277,No,Points,Letter,Medium,1,No,Medium,3,2,3,Yes,1024
278,Yes,Points,Postcard,High,2,No,Low,1,1,1,Yes,887.25
279,No,Air Miles,Letter,Medium,1,No,Medium,2,2,4,No,1163.25
280,No,Points,Letter,High,1,No,Low,2,1,3,No,139
281,No,Points,Letter,Medium,1,No,High,4,1,3,Yes,1164.5
282,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,984
283,No,Air Miles,Letter,Low,1,Yes,Medium,2,1,4,Yes,735.75
284,No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,1176
285,No,Air Miles,Postcard,Medium,1,No,Medium,3,2,5,No,1504.5
286,Yes,Points,Postcard,Low,2,No,Low,4,1,3,Yes,881.25
287,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,1168.5
288,Yes,Cash Back,Letter,Low,2,No,Low,3,2,3,Yes,1107.5
289,No,Air Miles,Letter,Medium,2,No,High,2,1,4,No,129.75
290,No,Points,Postcard,Low,1,No,High,3,2,1,No,1033.75
291,No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,742.25
292,No,Cash Back,Postcard,Medium,2,No,High,2,1,3,Yes,1423.25
293,No,Air Miles,Letter,Medium,1,Yes,High,1,1,4,Yes,239.25
294,No,Points,Postcard,Medium,1,No,High,2,1,3,No,1143.75
295,No,Air Miles,Postcard,Medium,1,No,High,2,1,5,No,828
296,No,Air Miles,Letter,Medium,1,Yes,High,1,1,4,No,873.25
297,No,Cash Back,Postcard,High,1,No,Medium,3,1,4,Yes,734
298,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,661.25
299,No,Points,Postcard,High,1,No,High,1,1,3,Yes,1159.25
300,No,Points,Postcard,Medium,1,Yes,Medium,3,1,2,No,1005.5
301,Yes,Cash Back,Postcard,High,1,No,Low,2,1,4,Yes,896.25
302,No,Air Miles,Letter,Medium,1,No,High,2,2,5,Yes,1101.75
303,No,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,No,278
304,No,Points,Letter,Medium,2,Yes,Medium,3,1,5,No,715.25
305,No,Points,Letter,Medium,1,No,Low,1,1,5,Yes,1611.5
306,No,Points,Letter,High,2,No,High,2,1,3,No,914.25
307,No,Points,Letter,High,3,No,Low,1,1,4,Yes,253.25
308,No,Cash Back,Letter,Low,1,No,Medium,3,1,4,No,1035.25
309,No,Air Miles,Letter,Low,2,Yes,Medium,1,1,2,No,1261.75
310,No,Points,Postcard,Medium,1,No,Medium,2,1,3,No,275.5
311,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,5,No,755.5
312,No,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1295.25
313,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,2,Yes,944.5
314,No,Cash Back,Letter,Medium,1,No,High,2,2,2,Yes,1148.25
315,No,Air Miles,Postcard,Medium,1,No,High,2,1,4,No,172.75
316,No,Points,Postcard,Medium,2,No,High,3,1,4,Yes,756
317,No,Air Miles,Postcard,High,2,No,Low,1,1,4,Yes,1486.75
318,No,Points,Postcard,Low,1,Yes,Low,1,1,5,No,1076
319,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,5,Yes,1094
320,No,Points,Letter,Low,1,No,Medium,2,1,4,Yes,287.25
321,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,916.5
322,No,Cash Back,Postcard,Low,1,No,Medium,3,1,3,No,1376.75
323,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,No,648.75
324,No,Points,Postcard,Medium,1,No,High,1,1,4,No,0
325,No,Points,Postcard,Low,1,No,Low,2,1,4,Yes,683.25
326,No,Points,Letter,Medium,1,No,Low,1,1,5,No,979.25
327,No,Cash Back,Postcard,High,1,No,High,2,2,4,No,913.75
328,No,Air Miles,Letter,Medium,1,Yes,High,4,1,3,Yes,755.25
329,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,1000.75
330,No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,1107
331,No,Points,Letter,Medium,1,No,High,2,1,5,Yes,762.25
332,No,Points,Letter,High,1,No,Medium,2,1,3,Yes,1223.5
333,No,Air Miles,Postcard,Low,1,No,Medium,2,1,2,Yes,932.5
334,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,967.75
335,No,Points,Postcard,Low,2,No,Low,2,1,4,Yes,222.75
336,No,Points,Postcard,Medium,2,No,Low,1,2,2,No,1003.75
337,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1221
338,No,Cash Back,Postcard,High,3,No,Low,1,1,4,Yes,915.5
339,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,984.25
340,No,Cash Back,Letter,Medium,1,Yes,High,2,1,2,Yes,1266.5
341,No,Points,Postcard,High,2,No,Medium,2,1,4,Yes,899.5
342,No,Cash Back,Postcard,High,1,No,Medium,3,1,2,No,1224.5
343,Yes,Points,Postcard,Low,1,No,Low,2,1,5,No,1735.25
344,No,Cash Back,Letter,Medium,2,No,High,1,2,4,Yes,1057.75
345,No,Points,Letter,Low,1,No,High,4,1,2,Yes,1196.25
346,No,Cash Back,Letter,Medium,1,No,Medium,2,2,5,Yes,219.5
347,No,Air Miles,Letter,Medium,1,No,High,2,2,3,Yes,1113.25
348,No,Points,Letter,Medium,2,Yes,High,2,1,4,Yes,969.25
349,No,Air Miles,Letter,Medium,1,No,Low,1,1,5,Yes,823.25
350,Yes,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,992.25
351,No,Cash Back,Postcard,Medium,3,No,Low,2,2,4,No,750.75
352,No,Points,Letter,Medium,1,No,High,1,2,4,Yes,1101.75
353,No,Air Miles,Postcard,High,1,No,Low,3,1,3,No,756.75
354,No,Points,Letter,High,1,No,Low,1,1,5,Yes,1092
355,No,Points,Letter,Medium,2,No,Medium,3,1,4,Yes,1072
356,No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,910.25
357,No,Points,Letter,Medium,1,No,Medium,3,1,5,Yes,884.5
358,No,Points,Postcard,Low,1,No,Medium,3,1,6,Yes,1007.75
359,No,Points,Letter,High,2,Yes,High,2,1,3,Yes,1069
360,No,Cash Back,Letter,Low,1,No,Low,2,1,3,Yes,257.5
361,No,Air Miles,Postcard,Medium,1,No,Low,1,1,3,No,1095.25
362,No,Cash Back,Letter,High,1,No,Low,2,2,3,Yes,1157.5
363,No,Air Miles,Letter,Medium,1,No,Medium,2,2,2,No,1015.75
364,No,Air Miles,Postcard,Low,2,No,High,2,1,4,No,986.5
365,No,Cash Back,Letter,High,1,Yes,Medium,3,1,3,Yes,962
366,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,940.75
367,No,Cash Back,Postcard,High,2,Yes,Medium,1,1,3,No,1049.75
368,No,Points,Postcard,Low,2,No,High,1,1,3,Yes,708.75
