Offer Accepted,Reward,rewardvalue,Mailer Type,mailertype,Income Level,incomelevel,Credit Rating,creditratingvalue,Credit Cards Held,Household Size,Average Balance
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,6,1040.25
No,Air Miles,0,Letter,0,Low,0,High,2,2,3,987
No,Air Miles,0,Postcard,1,Medium,1,Low,0,1,3,822
No,Points,3,Letter,0,Medium,1,High,2,1,5,650.5
Yes,Air Miles,0,Postcard,1,Low,0,High,2,2,2,931.75
No,Cash Back,1,Letter,0,Medium,1,Medium,1,1,3,988
No,Points,3,Letter,0,Medium,1,Medium,1,1,4,1145.5
No,Points,3,Postcard,1,Medium,1,Low,0,1,4,1162.5
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,3,954.25
No,Points,3,Postcard,1,High,3,Medium,1,4,5,1301.25
No,Cash Back,1,Letter,0,Medium,1,Medium,1,2,4,1148.75
Yes,Air Miles,0,Postcard,1,Low,0,Medium,1,1,2,1192.75
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,2,1195.5
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,3,1351.5
No,Cash Back,1,Postcard,1,Medium,1,High,2,1,4,1062.25
No,Cash Back,1,Letter,0,Medium,1,High,2,2,2,1147.25
No,Cash Back,1,Letter,0,Medium,1,Low,0,1,3,1308.5
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,2,363
No,Cash Back,1,Letter,0,Medium,1,Low,0,1,4,929.5
No,Cash Back,1,Postcard,1,Low,0,Low,0,2,2,718
No,Cash Back,1,Letter,0,High,3,High,2,1,3,1193.25
No,Air Miles,0,Letter,0,Medium,1,Medium,1,3,2,957.75
No,Points,3,Postcard,1,Medium,1,Low,0,2,4,1050
No,Points,3,Postcard,1,Medium,1,High,2,2,5,1266.5
No,Air Miles,0,Postcard,1,Medium,1,High,2,4,2,1124.75
No,Air Miles,0,Letter,0,High,3,High,2,2,1,1059.75
No,Cash Back,1,Postcard,1,Medium,1,High,2,1,1,1014.25
No,Air Miles,0,Letter,0,Low,0,High,2,1,3,891.25
Yes,Cash Back,1,Postcard,1,High,3,Low,0,2,5,1329.5
No,Air Miles,0,Letter,0,Medium,1,Medium,1,3,4,1023.5
Yes,Cash Back,1,Postcard,1,Medium,1,Low,0,1,5,908.5
No,Cash Back,1,Letter,0,High,3,Low,0,1,3,731.5
No,Points,3,Postcard,1,Low,0,Medium,1,2,2,793.5
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,3,1735.5
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,4,970.5
No,Cash Back,1,Letter,0,High,3,Low,0,2,4,995.25
No,Points,3,Postcard,1,Medium,1,Medium,1,2,3,904
No,Cash Back,1,Postcard,1,High,3,High,2,1,5,1128.5
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,3,1102.75
No,Cash Back,1,Postcard,1,Medium,1,High,2,1,4,976.25
No,Air Miles,0,Letter,0,Medium,1,High,2,2,5,839.75
No,Points,3,Postcard,1,Medium,1,Medium,1,2,4,1293
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,5,819.5
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,3,1094.5
No,Points,3,Postcard,1,Low,0,Low,0,1,2,1247.25
No,Air Miles,0,Letter,0,Medium,1,High,2,3,3,167
No,Cash Back,1,Letter,0,Medium,1,High,2,3,2,1144.75
No,Air Miles,0,Letter,0,Low,0,Medium,1,1,3,909.75
No,Cash Back,1,Postcard,1,Medium,1,Low,0,3,3,976.25
No,Points,3,Postcard,1,Low,0,Medium,1,2,4,741
No,Air Miles,0,Postcard,1,Low,0,Medium,1,1,2,1343.75
Yes,Points,3,Letter,0,Low,0,Low,0,3,3,1454.5
No,Air Miles,0,Letter,0,Medium,1,Medium,1,1,4,1791.25
No,Points,3,Letter,0,Low,0,Medium,1,1,3,1185.75
No,Cash Back,1,Letter,0,Low,0,High,2,2,3,1210.75
Yes,Points,3,Postcard,1,High,3,Low,0,1,9,161.5
No,Cash Back,1,Letter,0,Low,0,High,2,1,2,1033.75
No,Cash Back,1,Letter,0,High,3,Low,0,2,5,963
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,5,1025.75
No,Points,3,Letter,0,Low,0,High,2,1,5,1071.75
No,Cash Back,1,Letter,0,Low,0,Low,0,2,3,1039.5
No,Air Miles,0,Postcard,1,Medium,1,Low,0,3,3,979.25
No,Points,3,Postcard,1,High,3,High,2,2,1,905.5
No,Cash Back,1,Letter,0,High,3,Medium,1,2,5,924
No,Cash Back,1,Postcard,1,Low,0,Low,0,1,2,1061.75
No,Points,3,Postcard,1,Medium,1,Medium,1,3,1,816.5
Yes,Air Miles,0,Letter,0,High,3,High,2,2,5,1082.5
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,4,928.25
No,Points,3,Postcard,1,High,3,Medium,1,2,3,1397.25
No,Points,3,Postcard,1,Low,0,Low,0,1,5,1034.5
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,5,738.5
No,Cash Back,1,Postcard,1,High,3,High,2,2,4,1251.5
No,Points,3,Postcard,1,Low,0,High,2,1,5,1153.75
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,4,864
No,Cash Back,1,Letter,0,Medium,1,High,2,3,2,1155.5
No,Cash Back,1,Postcard,1,High,3,High,2,1,5,1090.5
No,Cash Back,1,Letter,0,Low,0,Medium,1,2,4,1090.5
No,Air Miles,0,Letter,0,Low,0,Low,0,2,3,773.75
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,3,1052
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,4,944.25
No,Points,3,Letter,0,Medium,1,High,2,1,4,1147.25
No,Cash Back,1,Letter,0,High,3,High,2,2,3,1159.5
No,Air Miles,0,Postcard,1,High,3,High,2,1,3,836.5
No,Cash Back,1,Letter,0,Medium,1,Medium,1,2,3,1057.75
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,3,5,714.75
Yes,Air Miles,0,Postcard,1,High,3,Medium,1,2,3,811.5
No,Cash Back,1,Letter,0,Medium,1,High,2,2,3,865.75
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,3,887.25
No,Cash Back,1,Letter,0,High,3,Medium,1,2,5,1791.75
No,Points,3,Postcard,1,High,3,High,2,2,3,1083
No,Points,3,Letter,0,Medium,1,Low,0,1,2,212.5
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,2,877.75
No,Air Miles,0,Letter,0,Medium,1,High,2,2,3,691.5
No,Air Miles,0,Postcard,1,Low,0,Medium,1,2,4,814.5
No,Points,3,Postcard,1,Medium,1,Medium,1,2,4,955.5
No,Cash Back,1,Letter,0,High,3,High,2,2,4,1281.5
No,Air Miles,0,Letter,0,High,3,Low,0,2,3,937.5
No,Points,3,Letter,0,Medium,1,Medium,1,2,3,919.75
No,Points,3,Postcard,1,Medium,1,High,2,1,3,879.75
No,Points,3,Letter,0,Medium,1,Low,0,4,4,1181
No,Air Miles,0,Postcard,1,Low,0,Medium,1,1,3,1153.5
No,Points,3,Postcard,1,High,3,High,2,2,4,794.25
No,Points,3,Postcard,1,Medium,1,Low,0,3,4,927.25
No,Points,3,Letter,0,Medium,1,Medium,1,3,2,1809
No,Cash Back,1,Letter,0,Low,0,Medium,1,1,5,1156.25
No,Air Miles,0,Postcard,1,High,3,Low,0,2,4,1121.5
No,Cash Back,1,Letter,0,High,3,Medium,1,2,4,1203
No,Points,3,Letter,0,High,3,Low,0,1,1,246.25
No,Air Miles,0,Letter,0,Low,0,Low,0,1,4,1454.75
No,Points,3,Postcard,1,High,3,Low,0,2,2,687
No,Points,3,Postcard,1,High,3,Low,0,1,3,928
No,Points,3,Postcard,1,High,3,Low,0,2,2,933
Yes,Cash Back,1,Postcard,1,Medium,1,Low,0,1,5,1133.25
No,Cash Back,1,Letter,0,Medium,1,Low,0,3,5,1301.5
No,Cash Back,1,Letter,0,High,3,Medium,1,1,2,1199
No,Points,3,Letter,0,Medium,1,Low,0,1,3,1084.25
No,Cash Back,1,Postcard,1,Low,0,High,2,2,2,1094.5
No,Points,3,Letter,0,High,3,High,2,1,3,1104
No,Air Miles,0,Letter,0,High,3,Low,0,1,4,1042.5
No,Cash Back,1,Postcard,1,Medium,1,High,2,1,5,1089.75
No,Points,3,Postcard,1,Medium,1,Medium,1,2,3,974.25
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,3,991.5
No,Points,3,Postcard,1,Low,0,Medium,1,2,3,1204.25
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,5,865
No,Points,3,Postcard,1,Medium,1,High,2,2,2,1144
No,Air Miles,0,Letter,0,Medium,1,Medium,1,3,4,958.5
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,3,1056.25
No,Points,3,Letter,0,Medium,1,Medium,1,3,3,695
No,Cash Back,1,Postcard,1,Low,0,High,2,4,2,1237.5
No,Cash Back,1,Letter,0,Low,0,High,2,2,5,1034
No,Cash Back,1,Letter,0,High,3,High,2,1,4,1246.5
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,2,998.75
No,Points,3,Postcard,1,High,3,Medium,1,2,3,1028
No,Points,3,Postcard,1,Medium,1,High,2,2,2,320
No,Points,3,Letter,0,Low,0,High,2,1,3,91.25
No,Points,3,Letter,0,High,3,Medium,1,1,3,166.25
No,Air Miles,0,Letter,0,Medium,1,Low,0,3,2,240
No,Points,3,Postcard,1,Medium,1,Medium,1,2,5,124.75
No,Air Miles,0,Letter,0,High,3,Low,0,1,3,1145.75
No,Points,3,Postcard,1,Medium,1,Low,0,2,6,1292.5
No,Points,3,Letter,0,Medium,1,High,2,2,3,1186
No,Air Miles,0,Postcard,1,Medium,1,High,2,1,5,1135.25
No,Cash Back,1,Letter,0,Low,0,Low,0,3,4,1279.25
No,Air Miles,0,Postcard,1,High,3,Low,0,2,3,1162
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,3,954.5
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,3,1073.25
No,Points,3,Letter,0,Medium,1,Medium,1,1,4,889
No,Points,3,Letter,0,Medium,1,Low,0,1,3,294.25
No,Air Miles,0,Postcard,1,Low,0,Low,0,3,3,1047.5
No,Air Miles,0,Letter,0,Low,0,Low,0,1,3,661.25
No,Cash Back,1,Letter,0,Medium,1,Medium,1,3,2,158.75
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,3,1059
No,Air Miles,0,Letter,0,Low,0,Medium,1,1,2,1741.75
No,Points,3,Postcard,1,High,3,Low,0,1,4,1419.5
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,3,232.5
No,Points,3,Letter,0,Medium,1,High,2,2,3,1122.5
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,4,1250.75
No,Air Miles,0,Letter,0,Medium,1,High,2,3,2,1057
No,Points,3,Postcard,1,High,3,Low,0,1,4,1195
No,Air Miles,0,Letter,0,Medium,1,High,2,1,3,936.25
No,Air Miles,0,Postcard,1,High,3,Low,0,1,5,791.5
No,Cash Back,1,Letter,0,Medium,1,High,2,1,4,1426
No,Air Miles,0,Letter,0,Low,0,High,2,2,4,764.75
No,Air Miles,0,Letter,0,Medium,1,High,2,2,3,830
No,Air Miles,0,Letter,0,Low,0,High,2,2,3,1162.25
No,Cash Back,1,Letter,0,Medium,1,High,2,2,3,1065.5
No,Cash Back,1,Letter,0,Medium,1,Low,0,1,3,1022.25
No,Cash Back,1,Postcard,1,Medium,1,Low,0,4,5,1181
No,Air Miles,0,Postcard,1,Low,0,Medium,1,3,4,1764
No,Cash Back,1,Letter,0,Low,0,Low,0,2,2,1043.25
No,Points,3,Letter,0,Medium,1,High,2,2,3,1702
No,Air Miles,0,Postcard,1,High,3,Medium,1,2,4,856
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,5,390.75
No,Air Miles,0,Postcard,1,Low,0,Low,0,3,4,1101.5
No,Points,3,Letter,0,Low,0,Medium,1,2,4,1016.5
No,Cash Back,1,Letter,0,Medium,1,High,2,3,5,287.75
No,Cash Back,1,Letter,0,Low,0,Low,0,3,6,841.25
No,Cash Back,1,Postcard,1,Medium,1,Low,0,3,6,911.75
Yes,Air Miles,0,Letter,0,Low,0,Low,0,1,3,1141.5
No,Air Miles,0,Letter,0,Medium,1,High,2,1,4,946.25
No,Cash Back,1,Letter,0,Low,0,High,2,3,5,1190.25
No,Air Miles,0,Letter,0,Medium,1,High,2,3,4,924
No,Cash Back,1,Postcard,1,Low,0,Low,0,2,4,823.75
No,Points,3,Postcard,1,Medium,1,High,2,3,4,1006
No,Points,3,Letter,0,Low,0,Low,0,1,4,1008.75
No,Points,3,Letter,0,Low,0,Medium,1,2,3,1128
No,Cash Back,1,Postcard,1,High,3,Low,0,2,1,1340.5
No,Points,3,Postcard,1,Low,0,Low,0,3,3,1371
No,Cash Back,1,Letter,0,Medium,1,Low,0,1,3,1331.25
No,Points,3,Postcard,1,Low,0,High,2,2,3,704.5
No,Air Miles,0,Postcard,1,Medium,1,High,2,1,3,1509
No,Cash Back,1,Postcard,1,High,3,Low,0,3,3,203.25
No,Air Miles,0,Postcard,1,High,3,Medium,1,1,2,1034
No,Air Miles,0,Postcard,1,Medium,1,Low,0,3,5,1007.25
No,Air Miles,0,Letter,0,Medium,1,High,2,3,4,874
No,Points,3,Letter,0,Medium,1,High,2,1,4,1148
No,Air Miles,0,Letter,0,High,3,Low,0,3,3,229.25
No,Points,3,Postcard,1,Medium,1,High,2,2,3,962.75
No,Points,3,Postcard,1,Medium,1,Low,0,4,5,1437.75
No,Air Miles,0,Letter,0,Low,0,High,2,1,4,1281.5
No,Air Miles,0,Letter,0,Medium,1,High,2,2,3,1029.5
No,Air Miles,0,Postcard,1,Low,0,High,2,2,2,883.75
No,Air Miles,0,Letter,0,Medium,1,Low,0,4,4,1144.5
No,Points,3,Letter,0,Medium,1,Medium,1,2,3,1117
Yes,Air Miles,0,Letter,0,High,3,Medium,1,1,5,1047.75
No,Air Miles,0,Postcard,1,Low,0,Medium,1,4,4,992.5
No,Air Miles,0,Letter,0,Low,0,High,2,1,1,1065.25
No,Points,3,Postcard,1,Low,0,Low,0,4,3,1526
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,2,1741.75
No,Cash Back,1,Letter,0,Medium,1,High,2,1,3,342.5
No,Air Miles,0,Letter,0,Medium,1,Medium,1,3,5,935.75
No,Points,3,Postcard,1,Low,0,Low,0,1,1,1058.5
No,Points,3,Letter,0,Medium,1,Medium,1,3,3,855
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,5,1263
No,Cash Back,1,Letter,0,Medium,1,Medium,1,1,6,1094.25
No,Air Miles,0,Postcard,1,High,3,High,2,2,2,228.25
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,3,1265
Yes,Air Miles,0,Postcard,1,Medium,1,Low,0,4,4,1034
No,Points,3,Postcard,1,Medium,1,Low,0,2,2,1210.25
No,Cash Back,1,Letter,0,Low,0,High,2,2,3,1150.5
No,Points,3,Postcard,1,Low,0,Medium,1,2,3,691.5
No,Points,3,Letter,0,Medium,1,Medium,1,2,3,1296.25
No,Points,3,Letter,0,Medium,1,Medium,1,2,3,690.5
No,Cash Back,1,Letter,0,Medium,1,Medium,1,1,4,1161.25
No,Cash Back,1,Letter,0,Low,0,Low,0,3,1,874.25
No,Cash Back,1,Postcard,1,Low,0,High,2,2,2,1272.75
No,Air Miles,0,Letter,0,Low,0,Low,0,1,3,1028.75
No,Cash Back,1,Letter,0,Medium,1,Medium,1,1,4,677.25
No,Air Miles,0,Postcard,1,High,3,Low,0,3,4,1053.25
No,Points,3,Postcard,1,Low,0,High,2,1,3,1022
No,Points,3,Letter,0,Medium,1,Medium,1,3,3,1024
Yes,Points,3,Postcard,1,High,3,Low,0,1,1,887.25
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,4,1163.25
No,Points,3,Letter,0,High,3,Low,0,2,3,139
No,Points,3,Letter,0,Medium,1,High,2,4,3,1164.5
Yes,Cash Back,1,Postcard,1,Low,0,Low,0,2,4,984
No,Air Miles,0,Letter,0,Low,0,Medium,1,2,4,735.75
No,Cash Back,1,Letter,0,Medium,1,High,2,2,3,1176
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,3,5,1504.5
Yes,Points,3,Postcard,1,Low,0,Low,0,4,3,881.25
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,3,1168.5
Yes,Cash Back,1,Letter,0,Low,0,Low,0,3,3,1107.5
No,Air Miles,0,Letter,0,Medium,1,High,2,2,4,129.75
No,Points,3,Postcard,1,Low,0,High,2,3,1,1033.75
No,Points,3,Postcard,1,Medium,1,High,2,1,4,742.25
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,3,1423.25
No,Air Miles,0,Letter,0,Medium,1,High,2,1,4,239.25
No,Points,3,Postcard,1,Medium,1,High,2,2,3,1143.75
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,5,828
No,Air Miles,0,Letter,0,Medium,1,High,2,1,4,873.25
No,Cash Back,1,Postcard,1,High,3,Medium,1,3,4,734
No,Cash Back,1,Postcard,1,Medium,1,High,2,1,4,661.25
No,Points,3,Postcard,1,High,3,High,2,1,3,1159.25
No,Points,3,Postcard,1,Medium,1,Medium,1,3,2,1005.5
Yes,Cash Back,1,Postcard,1,High,3,Low,0,2,4,896.25
No,Air Miles,0,Letter,0,Medium,1,High,2,2,5,1101.75
No,Cash Back,1,Postcard,1,Low,0,Low,0,2,4,278
No,Points,3,Letter,0,Medium,1,Medium,1,3,5,715.25
No,Points,3,Letter,0,Medium,1,Low,0,1,5,1611.5
No,Points,3,Letter,0,High,3,High,2,2,3,914.25
No,Points,3,Letter,0,High,3,Low,0,1,4,253.25
No,Cash Back,1,Letter,0,Low,0,Medium,1,3,4,1035.25
No,Air Miles,0,Letter,0,Low,0,Medium,1,1,2,1261.75
No,Points,3,Postcard,1,Medium,1,Medium,1,2,3,275.5
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,3,5,755.5
No,Air Miles,0,Postcard,1,Low,0,Medium,1,1,3,1295.25
Yes,Air Miles,0,Postcard,1,Medium,1,Medium,1,3,2,944.5
No,Cash Back,1,Letter,0,Medium,1,High,2,2,2,1148.25
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,4,172.75
No,Points,3,Postcard,1,Medium,1,High,2,3,4,756
No,Air Miles,0,Postcard,1,High,3,Low,0,1,4,1486.75
No,Points,3,Postcard,1,Low,0,Low,0,1,5,1076
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,5,1094
No,Points,3,Letter,0,Low,0,Medium,1,2,4,287.25
Yes,Air Miles,0,Postcard,1,Medium,1,Low,0,1,4,916.5
No,Cash Back,1,Postcard,1,Low,0,Medium,1,3,3,1376.75
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,4,648.75
No,Points,3,Postcard,1,Medium,1,High,2,1,4,0
No,Points,3,Postcard,1,Low,0,Low,0,2,4,683.25
No,Points,3,Letter,0,Medium,1,Low,0,1,5,979.25
No,Cash Back,1,Postcard,1,High,3,High,2,2,4,913.75
No,Air Miles,0,Letter,0,Medium,1,High,2,4,3,755.25
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,2,1000.75
No,Points,3,Postcard,1,Medium,1,Low,0,2,5,1107
No,Points,3,Letter,0,Medium,1,High,2,2,5,762.25
No,Points,3,Letter,0,High,3,Medium,1,2,3,1223.5
No,Air Miles,0,Postcard,1,Low,0,Medium,1,2,2,932.5
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,3,967.75
No,Points,3,Postcard,1,Low,0,Low,0,2,4,222.75
No,Points,3,Postcard,1,Medium,1,Low,0,1,2,1003.75
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,3,1221
No,Cash Back,1,Postcard,1,High,3,Low,0,1,4,915.5
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,3,3,984.25
No,Cash Back,1,Letter,0,Medium,1,High,2,2,2,1266.5
No,Points,3,Postcard,1,High,3,Medium,1,2,4,899.5
No,Cash Back,1,Postcard,1,High,3,Medium,1,3,2,1224.5
Yes,Points,3,Postcard,1,Low,0,Low,0,2,5,1735.25
No,Cash Back,1,Letter,0,Medium,1,High,2,1,4,1057.75
No,Points,3,Letter,0,Low,0,High,2,4,2,1196.25
No,Cash Back,1,Letter,0,Medium,1,Medium,1,2,5,219.5
No,Air Miles,0,Letter,0,Medium,1,High,2,2,3,1113.25
No,Points,3,Letter,0,Medium,1,High,2,2,4,969.25
No,Air Miles,0,Letter,0,Medium,1,Low,0,1,5,823.25
Yes,Points,3,Postcard,1,Medium,1,Low,0,1,4,992.25
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,4,750.75
No,Points,3,Letter,0,Medium,1,High,2,1,4,1101.75
No,Air Miles,0,Postcard,1,High,3,Low,0,3,3,756.75
No,Points,3,Letter,0,High,3,Low,0,1,5,1092
No,Points,3,Letter,0,Medium,1,Medium,1,3,4,1072
No,Cash Back,1,Postcard,1,Low,0,High,2,2,3,910.25
No,Points,3,Letter,0,Medium,1,Medium,1,3,5,884.5
No,Points,3,Postcard,1,Low,0,Medium,1,3,6,1007.75
No,Points,3,Letter,0,High,3,High,2,2,3,1069
No,Cash Back,1,Letter,0,Low,0,Low,0,2,3,257.5
No,Air Miles,0,Postcard,1,Medium,1,Low,0,1,3,1095.25
No,Cash Back,1,Letter,0,High,3,Low,0,2,3,1157.5
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,2,1015.75
No,Air Miles,0,Postcard,1,Low,0,High,2,2,4,986.5
No,Cash Back,1,Letter,0,High,3,Medium,1,3,3,962
No,Cash Back,1,Letter,0,Medium,1,Medium,1,2,3,940.75
No,Cash Back,1,Postcard,1,High,3,Medium,1,1,3,1049.75
No,Points,3,Postcard,1,Low,0,High,2,1,3,708.75
No,Air Miles,0,Postcard,1,Low,0,High,2,4,4,1170.25
No,Cash Back,1,Postcard,1,High,3,High,2,1,5,1255.5
No,Air Miles,0,Letter,0,Low,0,High,2,1,3,1246
No,Cash Back,1,Letter,0,Low,0,Low,0,1,3,911.5
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,4,885.75
No,Points,3,Postcard,1,Medium,1,Low,0,1,2,1101.25
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,4,1018.75
No,Points,3,Letter,0,Medium,1,High,2,2,3,1506
No,Points,3,Letter,0,High,3,High,2,1,3,922
No,Points,3,Letter,0,Low,0,Low,0,3,4,1157.75
Yes,Points,3,Postcard,1,Medium,1,High,2,2,3,1028.75
No,Points,3,Postcard,1,Medium,1,Low,0,2,2,1233
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,4,1749.25
No,Points,3,Postcard,1,High,3,High,2,1,3,946.25
No,Points,3,Letter,0,High,3,Low,0,2,2,1762
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,1,3,1180
No,Cash Back,1,Letter,0,Medium,1,High,2,1,5,898.5
No,Cash Back,1,Letter,0,High,3,High,2,2,4,984
No,Points,3,Postcard,1,High,3,Medium,1,2,3,1100.5
No,Points,3,Letter,0,High,3,High,2,1,3,765.25
No,Air Miles,0,Letter,0,Medium,1,Low,0,2,4,1076.75
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,5,970
No,Air Miles,0,Postcard,1,Medium,1,High,2,1,4,1206
No,Cash Back,1,Letter,0,Low,0,High,2,2,3,292
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,4,1001
No,Points,3,Letter,0,Medium,1,Medium,1,1,2,920.25
No,Points,3,Letter,0,Medium,1,High,2,2,1,925.75
No,Cash Back,1,Letter,0,High,3,Medium,1,1,4,673.75
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,4,996.25
No,Air Miles,0,Letter,0,Low,0,Medium,1,2,5,246
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,4,1135.25
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,3,929
No,Points,3,Letter,0,High,3,High,2,2,3,1241
No,Points,3,Letter,0,Medium,1,Low,0,2,5,790.75
Yes,Cash Back,1,Postcard,1,Low,0,Low,0,2,4,1364.75
No,Points,3,Postcard,1,High,3,High,2,3,3,785.5
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,3,1074.25
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,4,1041
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,1,4,1097
No,Points,3,Letter,0,Medium,1,High,2,4,2,1130
