Customer Number,Offer Accepted,Reward,Mailer Type
187,No,Points,Letter
188,No,Air Miles,Postcard
189,No,Cash Back,Letter
190,No,Air Miles,Postcard
191,No,Cash Back,Postcard
192,No,Cash Back,Postcard
193,No,Points,Letter
194,No,Points,Letter
195,No,Air Miles,Postcard
196,No,Air Miles,Letter
197,No,Cash Back,Letter
198,No,Cash Back,Postcard
199,No,Air Miles,Letter
200,No,Points,Postcard
201,No,Cash Back,Letter
202,No,Points,Letter
203,No,Cash Back,Postcard
204,No,Air Miles,Letter
205,No,Points,Postcard
206,No,Air Miles,Letter
207,No,Air Miles,Postcard
208,No,Cash Back,Letter
209,No,Air Miles,Letter
210,No,Air Miles,Letter
211,No,Air Miles,Letter
212,No,Cash Back,Letter
213,No,Cash Back,Letter
214,No,Cash Back,Postcard
215,No,Air Miles,Postcard
216,No,Cash Back,Letter
217,No,Points,Letter
218,No,Air Miles,Postcard
219,No,Air Miles,Letter
220,No,Air Miles,Postcard
221,No,Points,Letter
222,No,Cash Back,Letter
223,No,Cash Back,Letter
224,No,Cash Back,Postcard
225,Yes,Air Miles,Letter
226,No,Air Miles,Letter
227,No,Cash Back,Letter
228,No,Air Miles,Letter
229,No,Cash Back,Postcard
230,No,Points,Postcard
231,No,Points,Letter
232,No,Points,Letter
233,No,Cash Back,Postcard
234,No,Points,Postcard
235,No,Cash Back,Letter
236,No,Points,Postcard
237,No,Air Miles,Postcard
238,No,Cash Back,Postcard
239,No,Air Miles,Postcard
240,No,Air Miles,Postcard
241,No,Air Miles,Letter
242,No,Points,Letter
243,No,Air Miles,Letter
244,No,Points,Postcard
245,No,Points,Postcard
246,No,Air Miles,Letter
247,No,Air Miles,Letter
248,No,Air Miles,Postcard
249,No,Air Miles,Letter
250,No,Points,Letter
251,Yes,Air Miles,Letter
252,No,Air Miles,Postcard
253,No,Air Miles,Letter
254,No,Points,Postcard
255,No,Air Miles,Letter
256,No,Cash Back,Letter
257,No,Air Miles,Letter
258,No,Points,Postcard
259,No,Points,Letter
260,No,Cash Back,Postcard
261,No,Cash Back,Letter
262,No,Air Miles,Postcard
263,No,Cash Back,Postcard
264,Yes,Air Miles,Postcard
265,No,Points,Postcard
266,No,Cash Back,Letter
267,No,Points,Postcard
268,No,Points,Letter
269,No,Points,Letter
270,No,Cash Back,Letter
271,No,Cash Back,Letter
272,No,Cash Back,Postcard
273,No,Air Miles,Letter
274,No,Cash Back,Letter
275,No,Air Miles,Postcard
276,No,Points,Postcard
277,No,Points,Letter
278,Yes,Points,Postcard
279,No,Air Miles,Letter
280,No,Points,Letter
281,No,Points,Letter
282,Yes,Cash Back,Postcard
283,No,Air Miles,Letter
284,No,Cash Back,Letter
285,No,Air Miles,Postcard
286,Yes,Points,Postcard
287,No,Cash Back,Postcard
288,Yes,Cash Back,Letter
289,No,Air Miles,Letter
290,No,Points,Postcard
291,No,Points,Postcard
292,No,Cash Back,Postcard
293,No,Air Miles,Letter
294,No,Points,Postcard
295,No,Air Miles,Postcard
296,No,Air Miles,Letter
297,No,Cash Back,Postcard
298,No,Cash Back,Postcard
299,No,Points,Postcard
300,No,Points,Postcard
301,Yes,Cash Back,Postcard
302,No,Air Miles,Letter
303,No,Cash Back,Postcard
304,No,Points,Letter
305,No,Points,Letter
306,No,Points,Letter
307,No,Points,Letter
308,No,Cash Back,Letter
309,No,Air Miles,Letter
310,No,Points,Postcard
311,No,Air Miles,Postcard
312,No,Air Miles,Postcard
313,Yes,Air Miles,Postcard
314,No,Cash Back,Letter
315,No,Air Miles,Postcard
316,No,Points,Postcard
317,No,Air Miles,Postcard
318,No,Points,Postcard
319,No,Air Miles,Postcard
320,No,Points,Letter
321,Yes,Air Miles,Postcard
322,No,Cash Back,Postcard
323,No,Air Miles,Postcard
324,No,Points,Postcard
325,No,Points,Postcard
326,No,Points,Letter
327,No,Cash Back,Postcard
328,No,Air Miles,Letter
329,No,Cash Back,Letter
330,No,Points,Postcard
331,No,Points,Letter
332,No,Points,Letter
333,No,Air Miles,Postcard
334,No,Cash Back,Letter
335,No,Points,Postcard
336,No,Points,Postcard
337,No,Air Miles,Postcard
338,No,Cash Back,Postcard
339,No,Cash Back,Postcard
340,No,Cash Back,Letter
341,No,Points,Postcard
342,No,Cash Back,Postcard
343,Yes,Points,Postcard
344,No,Cash Back,Letter
345,No,Points,Letter
346,No,Cash Back,Letter
347,No,Air Miles,Letter
348,No,Points,Letter
349,No,Air Miles,Letter
350,Yes,Points,Postcard
351,No,Cash Back,Postcard
352,No,Points,Letter
353,No,Air Miles,Postcard
354,No,Points,Letter
355,No,Points,Letter
356,No,Cash Back,Postcard
357,No,Points,Letter
358,No,Points,Postcard
359,No,Points,Letter
360,No,Cash Back,Letter
361,No,Air Miles,Postcard
362,No,Cash Back,Letter
363,No,Air Miles,Letter
364,No,Air Miles,Postcard
365,No,Cash Back,Letter
366,No,Cash Back,Letter
367,No,Cash Back,Postcard
368,No,Points,Postcard
369,No,Air Miles,Postcard
370,No,Cash Back,Postcard
371,No,Air Miles,Letter
372,No,Cash Back,Letter
373,No,Cash Back,Postcard
374,No,Points,Postcard
375,No,Air Miles,Postcard
376,No,Points,Letter
377,No,Points,Letter
378,No,Points,Letter
379,Yes,Points,Postcard
380,No,Points,Postcard
381,No,Cash Back,Postcard
382,No,Points,Postcard
383,No,Points,Letter
384,No,Air Miles,Postcard
385,No,Cash Back,Letter
386,No,Cash Back,Letter
387,No,Points,Postcard
388,No,Points,Letter
389,No,Air Miles,Letter
390,No,Cash Back,Postcard
391,No,Air Miles,Postcard
392,No,Cash Back,Letter
393,No,Air Miles,Postcard
394,No,Points,Letter
395,No,Points,Letter
396,No,Cash Back,Letter
397,No,Air Miles,Postcard
398,No,Air Miles,Letter
399,No,Cash Back,Postcard
400,No,Cash Back,Postcard
401,No,Points,Letter
402,No,Points,Letter
403,Yes,Cash Back,Postcard
404,No,Points,Postcard
405,No,Air Miles,Postcard
406,No,Air Miles,Postcard
407,No,Air Miles,Postcard
408,No,Points,Letter
409,No,Cash Back,Postcard
410,No,Cash Back,Postcard
411,No,Air Miles,Letter
412,No,Points,Letter
413,Yes,Points,Postcard
414,No,Air Miles,Letter
415,No,Points,Letter
416,No,Points,Postcard
417,No,Points,Postcard
418,No,Air Miles,Letter
419,No,Points,Letter
420,No,Points,Letter
421,No,Points,Postcard
422,No,Points,Letter
423,No,Air Miles,Postcard
424,Yes,Air Miles,Postcard
425,No,Cash Back,Letter
426,No,Air Miles,Letter
427,No,Air Miles,Postcard
428,No,Points,Letter
429,No,Cash Back,Postcard
430,No,Air Miles,Postcard
431,No,Air Miles,Letter
432,No,Air Miles,Letter
433,No,Cash Back,Postcard
434,No,Cash Back,Letter
435,No,Cash Back,Letter
436,No,Cash Back,Letter
437,No,Points,Letter
438,No,Air Miles,Letter
439,No,Cash Back,Postcard
440,No,Cash Back,Postcard
441,No,Points,Postcard
442,No,Air Miles,Postcard
443,No,Points,Postcard
444,No,Points,Letter
445,No,Cash Back,Letter
446,No,Air Miles,Letter
447,No,Air Miles,Postcard
448,Yes,Air Miles,Postcard
449,No,Cash Back,Letter
450,No,Air Miles,Postcard
451,No,Cash Back,Postcard
452,No,Points,Letter
453,No,Air Miles,Letter
454,No,Cash Back,Letter
455,No,Air Miles,Letter
456,No,Cash Back,Postcard
457,No,Cash Back,Postcard
458,No,Air Miles,Letter
459,No,Air Miles,Postcard
460,No,Points,Letter
461,No,Cash Back,Postcard
462,No,Points,Postcard
463,No,Air Miles,Letter
464,No,Air Miles,Letter
465,No,Cash Back,Letter
466,No,Air Miles,Postcard
467,Yes,Cash Back,Letter
468,No,Points,Letter
469,No,Cash Back,Letter
470,No,Points,Letter
471,No,Points,Postcard
472,No,Points,Postcard
473,No,Air Miles,Letter
474,No,Points,Postcard
475,No,Air Miles,Letter
476,No,Air Miles,Letter
477,No,Cash Back,Letter
478,Yes,Air Miles,Postcard
479,No,Cash Back,Letter
480,No,Air Miles,Postcard
481,No,Air Miles,Letter
482,No,Points,Letter
483,No,Points,Letter
484,No,Air Miles,Postcard
485,No,Points,Letter
486,No,Cash Back,Postcard
487,No,Cash Back,Letter
488,No,Cash Back,Postcard
489,No,Points,Letter
490,No,Points,Letter
491,No,Air Miles,Letter
492,No,Air Miles,Postcard
493,No,Air Miles,Letter
494,No,Points,Letter
495,Yes,Points,Postcard
496,No,Air Miles,Letter
497,No,Air Miles,Letter
498,No,Air Miles,Postcard
499,No,Cash Back,Letter
500,No,Cash Back,Letter
501,No,Cash Back,Letter
502,No,Cash Back,Letter
503,Yes,Points,Postcard
504,No,Air Miles,Postcard
505,No,Air Miles,Postcard
506,No,Cash Back,Postcard
507,No,Cash Back,Letter
508,No,Air Miles,Letter
509,No,Air Miles,Letter
510,No,Points,Letter
511,No,Cash Back,Letter
512,No,Air Miles,Postcard
513,No,Points,Postcard
514,No,Points,Postcard
515,No,Points,Letter
516,No,Air Miles,Postcard
517,No,Points,Postcard
518,No,Points,Postcard
519,No,Air Miles,Letter
520,No,Air Miles,Postcard
521,No,Points,Postcard
522,No,Cash Back,Letter
523,No,Cash Back,Postcard
524,No,Points,Postcard
525,No,Air Miles,Letter
526,No,Air Miles,Postcard
527,No,Air Miles,Letter
528,No,Air Miles,Postcard
529,No,Points,Letter
530,No,Air Miles,Postcard
531,No,Points,Postcard
532,No,Air Miles,Postcard
533,No,Points,Letter
534,Yes,Cash Back,Postcard
535,No,Air Miles,Letter
536,No,Points,Letter
537,No,Points,Letter
538,No,Points,Letter
539,No,Points,Letter
540,No,Air Miles,Letter
541,No,Points,Postcard
542,No,Air Miles,Postcard
543,No,Points,Postcard
544,No,Air Miles,Letter
545,No,Points,Postcard
546,No,Air Miles,Letter
547,No,Cash Back,Letter
548,No,Air Miles,Postcard
549,No,Points,Letter
550,No,Cash Back,Postcard
551,No,Air Miles,Letter
552,No,Points,Postcard
553,No,Cash Back,Postcard
554,No,Cash Back,Postcard
555,No,Air Miles,Postcard
556,Yes,Air Miles,Postcard
557,No,Cash Back,Postcard
558,No,Points,Postcard
559,No,Air Miles,Letter
560,No,Cash Back,Letter
561,No,Points,Letter
562,No,Cash Back,Letter
563,No,Points,Postcard
564,No,Cash Back,Letter
565,No,Cash Back,Postcard
566,No,Points,Letter
567,No,Cash Back,Letter
568,No,Points,Letter
569,No,Cash Back,Postcard
570,No,Cash Back,Postcard
571,No,Points,Letter
572,No,Air Miles,Letter
573,No,Cash Back,Letter
574,No,Air Miles,Letter
575,No,Air Miles,Postcard
576,No,Points,Letter
577,No,Air Miles,Postcard
578,No,Points,Postcard
579,No,Air Miles,Letter
580,No,Points,Postcard
581,No,Cash Back,Postcard
582,No,Air Miles,Postcard
583,No,Air Miles,Letter
584,No,Cash Back,Postcard
585,No,Air Miles,Letter
586,No,Points,Letter
587,No,Cash Back,Letter
588,Yes,Points,Postcard
589,No,Air Miles,Letter
590,No,Points,Letter
591,No,Air Miles,Letter
592,No,Points,Postcard
593,No,Air Miles,Postcard
594,No,Cash Back,Postcard
595,No,Cash Back,Letter
596,No,Cash Back,Letter
597,No,Air Miles,Postcard
598,No,Cash Back,Postcard
599,No,Cash Back,Postcard
600,No,Points,Letter
601,No,Air Miles,Postcard
602,No,Air Miles,Letter
603,No,Cash Back,Letter
604,No,Air Miles,Postcard
605,No,Air Miles,Letter
606,Yes,Air Miles,Letter
607,No,Points,Postcard
608,No,Cash Back,Letter
609,No,Cash Back,Postcard
610,No,Points,Letter
611,Yes,Points,Postcard
612,No,Air Miles,Postcard
613,No,Air Miles,Postcard
614,No,Air Miles,Postcard
615,No,Cash Back,Postcard
616,No,Air Miles,Postcard
617,No,Cash Back,Postcard
618,No,Air Miles,Letter
619,Yes,Air Miles,Postcard
620,No,Air Miles,Letter
621,No,Cash Back,Postcard
622,No,Air Miles,Letter
623,No,Points,Postcard
624,No,Cash Back,Postcard
625,No,Points,Postcard
626,Yes,Air Miles,Postcard
627,No,Air Miles,Letter
628,No,Points,Postcard
629,No,Cash Back,Letter
630,No,Points,Postcard
631,No,Air Miles,Postcard
632,Yes,Points,Postcard
633,No,Air Miles,Postcard
634,No,Air Miles,Postcard
635,Yes,Air Miles,Postcard
636,No,Points,Postcard
637,No,Cash Back,Postcard
638,Yes,Air Miles,Postcard
639,No,Points,Letter
640,Yes,Air Miles,Postcard
641,No,Cash Back,Letter
642,No,Air Miles,Letter
643,No,Air Miles,Postcard
644,No,Cash Back,Letter
645,No,Air Miles,Letter
646,No,Air Miles,Letter
647,No,Points,Letter
648,No,Points,Letter
649,No,Air Miles,Postcard
650,No,Air Miles,Postcard
651,No,Cash Back,Postcard
652,No,Points,Letter
653,No,Air Miles,Letter
654,Yes,Points,Postcard
655,No,Air Miles,Letter
656,No,Cash Back,Postcard
657,No,Air Miles,Letter
658,Yes,Points,Postcard
659,No,Air Miles,Postcard
660,No,Cash Back,Postcard
661,Yes,Cash Back,Letter
662,Yes,Points,Postcard
663,No,Air Miles,Postcard
664,No,Air Miles,Letter
665,No,Cash Back,Postcard
666,No,Cash Back,Letter
667,No,Points,Postcard
668,No,Points,Letter
669,No,Cash Back,Postcard
670,Yes,Points,Letter
671,No,Cash Back,Letter
672,No,Points,Postcard
673,No,Points,Letter
674,No,Air Miles,Letter
675,No,Cash Back,Letter
676,No,Points,Letter
677,No,Air Miles,Letter
678,No,Points,Postcard
679,No,Cash Back,Letter
680,No,Cash Back,Postcard
681,No,Air Miles,Postcard
682,No,Cash Back,Postcard
683,No,Cash Back,Postcard
684,No,Points,Postcard
685,No,Points,Postcard
686,No,Points,Letter
687,No,Air Miles,Postcard
688,No,Points,Postcard
689,No,Points,Postcard
690,No,Points,Postcard
691,No,Air Miles,Postcard
692,No,Air Miles,Postcard
693,No,Points,Postcard
694,No,Points,Letter
695,No,Air Miles,Letter
696,No,Points,Letter
697,No,Cash Back,Postcard
698,No,Air Miles,Postcard
699,No,Points,Postcard
700,No,Cash Back,Postcard
701,No,Air Miles,Postcard
702,No,Points,Postcard
703,No,Cash Back,Letter
704,No,Air Miles,Postcard
705,No,Cash Back,Postcard
706,No,Air Miles,Postcard
707,No,Air Miles,Postcard
708,No,Points,Letter
709,No,Points,Letter
710,No,Air Miles,Letter
711,Yes,Cash Back,Postcard
712,No,Air Miles,Postcard
713,No,Points,Postcard
714,No,Points,Postcard
715,No,Cash Back,Postcard
716,No,Air Miles,Letter
717,No,Air Miles,Letter
718,No,Cash Back,Postcard
719,No,Air Miles,Postcard
720,No,Cash Back,Letter
721,Yes,Points,Letter
722,No,Points,Letter
723,No,Cash Back,Postcard
724,No,Air Miles,Postcard
725,No,Cash Back,Postcard
726,No,Cash Back,Postcard
727,No,Points,Postcard
728,No,Air Miles,Letter
729,No,Points,Postcard
730,No,Points,Letter
731,No,Air Miles,Postcard
732,No,Air Miles,Letter
733,Yes,Air Miles,Postcard
734,No,Points,Postcard
735,No,Points,Postcard
736,No,Points,Letter
737,No,Points,Postcard
738,No,Air Miles,Postcard
739,Yes,Cash Back,Postcard
740,No,Cash Back,Postcard
741,No,Cash Back,Postcard
742,No,Cash Back,Postcard
743,No,Cash Back,Postcard
744,No,Cash Back,Letter
745,No,Points,Letter
746,No,Points,Postcard
747,No,Cash Back,Letter
748,Yes,Cash Back,Postcard
749,No,Points,Postcard
750,No,Air Miles,Postcard
751,No,Points,Postcard
752,Yes,Air Miles,Letter
753,No,Cash Back,Postcard
754,No,Points,Postcard
755,No,Cash Back,Postcard
756,No,Air Miles,Letter
757,No,Cash Back,Letter
758,No,Cash Back,Postcard
759,No,Cash Back,Postcard
760,No,Cash Back,Letter
761,No,Points,Postcard
762,No,Cash Back,Postcard
763,No,Points,Letter
764,No,Points,Letter
765,No,Cash Back,Letter
766,No,Points,Postcard
767,No,Points,Postcard
768,No,Points,Letter
769,No,Cash Back,Postcard
770,No,Points,Letter
771,No,Cash Back,Letter
772,No,Cash Back,Letter
773,No,Cash Back,Letter
774,No,Points,Postcard
775,No,Points,Letter
776,No,Air Miles,Letter
777,No,Air Miles,Letter
778,No,Points,Letter
779,No,Points,Letter
780,No,Points,Letter
781,No,Cash Back,Letter
782,No,Cash Back,Letter
783,No,Points,Postcard
784,No,Air Miles,Letter
785,No,Points,Postcard
786,No,Air Miles,Postcard
787,No,Points,Letter
788,No,Cash Back,Letter
789,No,Cash Back,Letter
790,No,Points,Letter
791,No,Points,Letter
792,Yes,Points,Postcard
793,No,Cash Back,Postcard
794,No,Cash Back,Letter
795,No,Points,Postcard
796,No,Points,Letter
797,No,Points,Postcard
798,No,Points,Letter
799,No,Points,Postcard
800,No,Air Miles,Postcard
801,No,Points,Postcard
802,No,Cash Back,Letter
803,No,Cash Back,Letter
804,No,Cash Back,Postcard
805,Yes,Air Miles,Postcard
806,No,Cash Back,Letter
807,No,Points,Letter
808,No,Cash Back,Postcard
809,No,Cash Back,Postcard
810,No,Points,Letter
811,No,Points,Postcard
812,No,Cash Back,Postcard
813,Yes,Cash Back,Postcard
814,No,Cash Back,Letter
815,No,Air Miles,Letter
816,No,Points,Letter
817,No,Points,Letter
818,No,Air Miles,Postcard
819,No,Air Miles,Postcard
820,No,Cash Back,Letter
821,No,Cash Back,Postcard
822,No,Cash Back,Letter
823,No,Cash Back,Letter
824,No,Points,Postcard
825,No,Air Miles,Letter
826,No,Air Miles,Postcard
827,No,Cash Back,Letter
828,No,Cash Back,Postcard
829,No,Points,Postcard
830,No,Air Miles,Letter
831,No,Air Miles,Postcard
832,No,Cash Back,Letter
833,No,Cash Back,Letter
834,No,Points,Letter
835,No,Points,Letter
836,No,Points,Letter
837,No,Cash Back,Letter
838,No,Cash Back,Postcard
839,No,Points,Letter
840,No,Air Miles,Postcard
841,No,Air Miles,Postcard
842,No,Points,Postcard
843,No,Points,Postcard
844,No,Cash Back,Postcard
845,No,Cash Back,Postcard
846,No,Points,Postcard
847,No,Cash Back,Postcard
848,No,Air Miles,Postcard
849,No,Points,Postcard
850,No,Points,Postcard
851,No,Points,Postcard
852,No,Points,Letter
853,No,Points,Postcard
854,No,Points,Postcard
855,No,Cash Back,Letter
856,No,Air Miles,Postcard
857,No,Points,Letter
858,No,Cash Back,Letter
859,No,Air Miles,Postcard
860,No,Air Miles,Letter
861,No,Cash Back,Letter
862,No,Points,Letter
863,No,Cash Back,Postcard
864,No,Air Miles,Postcard
865,Yes,Points,Postcard
866,No,Cash Back,Postcard
867,No,Cash Back,Letter
868,No,Points,Postcard
869,No,Points,Postcard
870,No,Cash Back,Postcard
871,No,Cash Back,Postcard
872,No,Air Miles,Letter
873,No,Points,Letter
874,Yes,Points,Postcard
875,No,Cash Back,Postcard
876,No,Points,Letter
877,No,Points,Postcard
878,No,Cash Back,Postcard
879,No,Cash Back,Letter
880,No,Points,Letter
881,No,Points,Postcard
882,No,Cash Back,Postcard
883,No,Air Miles,Letter
884,No,Cash Back,Letter
885,No,Points,Postcard
886,No,Cash Back,Letter
887,No,Points,Letter
888,No,Points,Postcard
889,No,Cash Back,Letter
890,No,Air Miles,Letter
891,No,Points,Postcard
892,No,Points,Postcard
893,No,Points,Postcard
894,No,Air Miles,Postcard
895,Yes,Air Miles,Postcard
896,No,Air Miles,Postcard
897,Yes,Air Miles,Postcard
898,No,Cash Back,Letter
899,No,Air Miles,Postcard
900,No,Points,Postcard
901,No,Points,Postcard
902,No,Cash Back,Letter
903,No,Points,Postcard
904,Yes,Points,Letter
905,No,Air Miles,Postcard
906,No,Cash Back,Postcard
907,No,Cash Back,Letter
908,No,Air Miles,Postcard
909,No,Air Miles,Letter
910,No,Points,Postcard
911,No,Points,Letter
912,No,Points,Postcard
913,No,Cash Back,Letter
914,No,Air Miles,Letter
915,No,Points,Letter
916,No,Cash Back,Postcard
917,No,Air Miles,Postcard
918,Yes,Points,Postcard
919,No,Air Miles,Letter
920,No,Air Miles,Postcard
921,No,Points,Letter
922,No,Cash Back,Postcard
923,No,Points,Letter
924,No,Cash Back,Letter
925,No,Cash Back,Letter
926,No,Cash Back,Letter
927,No,Cash Back,Postcard
928,No,Points,Letter
929,No,Points,Postcard
930,No,Air Miles,Postcard
931,No,Points,Letter
932,No,Cash Back,Letter
933,No,Points,Postcard
934,No,Cash Back,Letter
935,No,Cash Back,Postcard
936,No,Air Miles,Letter
937,No,Air Miles,Postcard
938,No,Cash Back,Letter
939,No,Air Miles,Postcard
940,No,Cash Back,Postcard
941,No,Air Miles,Postcard
942,No,Air Miles,Postcard
943,No,Cash Back,Letter
944,No,Air Miles,Letter
945,No,Points,Postcard
946,No,Cash Back,Letter
947,No,Air Miles,Letter
948,No,Cash Back,Postcard
949,No,Points,Letter
950,No,Air Miles,Postcard
951,No,Air Miles,Letter
952,No,Air Miles,Letter
953,No,Air Miles,Postcard
954,No,Cash Back,Letter
955,No,Air Miles,Postcard
956,No,Cash Back,Postcard
957,No,Air Miles,Letter
958,No,Cash Back,Postcard
959,No,Points,Letter
960,No,Air Miles,Letter
961,No,Points,Postcard
962,No,Cash Back,Letter
963,No,Points,Letter
964,No,Air Miles,Postcard
965,No,Air Miles,Postcard
966,No,Cash Back,Postcard
967,No,Air Miles,Letter
968,No,Points,Letter
969,No,Cash Back,Letter
970,No,Air Miles,Letter
971,No,Cash Back,Postcard
972,No,Air Miles,Letter
973,Yes,Air Miles,Postcard
974,No,Points,Letter
975,No,Points,Letter
976,No,Air Miles,Postcard
977,No,Cash Back,Letter
978,No,Points,Postcard
979,No,Points,Letter
980,No,Points,Postcard
981,No,Points,Postcard
982,No,Cash Back,Letter
983,No,Cash Back,Letter
984,No,Points,Letter
985,No,Points,Postcard
986,No,Cash Back,Letter
987,No,Points,Postcard
988,No,Air Miles,Letter
989,No,Points,Letter
990,No,Cash Back,Letter
991,No,Points,Letter
992,Yes,Points,Postcard
993,No,Cash Back,Letter
994,No,Points,Letter
995,No,Air Miles,Postcard
996,No,Air Miles,Postcard
997,No,Points,Letter
998,No,Air Miles,Postcard
999,No,Points,Postcard
1000,Yes,Points,Postcard
1001,No,Points,Postcard
1002,No,Air Miles,Letter
1003,No,Air Miles,Postcard
1004,No,Air Miles,Letter
1005,No,Air Miles,Postcard
1006,No,Cash Back,Postcard
1007,No,Cash Back,Postcard
1008,No,Air Miles,Postcard
1009,No,Points,Letter
1010,No,Cash Back,Postcard
1011,No,Cash Back,Letter
1012,No,Points,Letter
1013,No,Cash Back,Letter
1014,No,Cash Back,Letter
1015,No,Air Miles,Postcard
1016,No,Air Miles,Postcard
1017,No,Air Miles,Letter
1018,No,Cash Back,Letter
1019,No,Cash Back,Postcard
1020,No,Points,Postcard
1021,No,Cash Back,Letter
1022,No,Cash Back,Postcard
1023,No,Air Miles,Letter
