offer accepted,reward,mailertype,incomelevel,creditratingvalue,Credit Cards Held,Household Size,Average Balance
0,0,0,0,0,2,3,1241.75
0,3,1,1,0,2,3,112.75
0,0,1,3,2,2,3,1285.25
0,1,1,3,0,2,2,1062
0,1,0,3,2,2,4,1141.25
0,1,0,1,2,2,3,1133.5
0,0,1,3,0,1,4,1335.75
0,1,1,1,2,1,2,206
0,1,1,1,2,2,2,1098.25
0,3,0,1,1,2,2,1308
0,0,1,3,0,2,4,1292.25
0,0,0,3,1,2,2,1147.25
0,1,0,0,0,2,4,1035.25
0,0,1,0,0,1,3,850.75
0,0,0,1,1,1,3,675.25
1,0,0,3,1,1,4,175.75
0,3,1,1,0,2,5,840.25
0,1,0,3,1,2,3,225.5
0,1,1,0,0,2,2,1422.75
0,3,0,1,2,2,3,735.75
1,3,1,0,0,1,5,825.5
0,0,1,0,0,3,4,843
0,0,1,3,1,3,3,1006.75
0,0,1,1,0,1,4,1155
0,1,1,1,1,2,4,1045.5
0,0,1,1,0,2,3,1033.25
0,1,1,1,1,2,5,342.5
0,0,0,1,0,1,3,833.75
1,0,1,3,0,1,5,259.25
0,0,0,0,1,1,4,1154.75
0,1,1,0,2,3,3,732.75
0,0,0,1,1,1,2,979
0,3,1,1,2,2,5,1092
0,1,1,3,0,1,3,1082.25
0,3,1,1,1,2,3,928.5
1,0,1,3,1,2,3,985.75
0,0,0,0,0,2,4,1091.25
0,3,1,3,1,1,6,961.5
0,1,0,3,2,2,5,1492
0,3,1,1,2,1,4,1206.5
0,0,1,0,2,2,4,869.5
1,3,1,1,0,2,5,955.75
0,0,1,0,0,2,4,831.5
0,0,1,1,2,3,4,1351
1,0,1,1,0,2,4,1124
0,3,1,1,2,2,4,1143.5
0,1,1,1,2,1,2,235.5
1,0,1,1,1,1,5,1014.25
0,3,0,3,1,1,4,1034.75
1,0,1,1,0,2,3,1074.75
0,1,0,3,1,3,2,1611.75
0,0,0,0,1,3,3,142
0,0,1,1,1,3,3,1177.75
0,1,0,1,1,3,4,1169.5
0,0,0,1,0,2,2,1301.25
0,0,0,1,2,3,3,1403.25
0,3,0,3,2,1,2,1113
0,3,0,0,0,1,3,1175.25
0,0,1,1,2,2,3,1133.75
0,0,1,0,2,2,4,164.75
0,1,1,3,1,2,2,1343
0,3,0,1,2,3,3,931
0,0,0,1,1,1,5,1000.25
1,3,1,3,0,1,3,1015.75
0,0,0,1,1,2,3,931.5
0,1,1,1,1,1,4,1376.25
0,0,0,3,2,1,6,1186.25
1,3,1,0,0,2,3,970.75
0,0,1,1,2,1,4,1172
0,1,1,1,1,1,3,1085
1,1,0,0,0,2,4,1084
1,3,1,0,0,2,4,178.5
0,0,1,3,2,1,4,1664.25
0,0,0,0,1,2,2,1021.5
0,1,1,3,2,2,3,1047.75
0,1,0,3,1,3,4,984.5
0,3,1,1,0,2,6,1489.25
0,3,0,1,0,2,3,678.25
0,1,1,0,0,2,3,964
1,3,0,0,0,2,6,140
0,1,0,1,0,2,4,951.25
0,3,1,0,0,2,4,987.25
0,3,0,1,1,1,3,1087.75
0,0,0,1,0,1,4,249
0,1,0,1,1,1,4,903
0,3,0,1,1,2,4,1023.5
0,0,0,3,1,1,3,959.75
0,3,1,1,1,2,1,892.75
0,1,0,3,1,3,3,268
0,1,1,1,0,3,3,1073.5
0,0,1,1,2,1,4,1127.75
0,1,1,1,0,1,3,308
0,1,1,1,2,2,4,671
0,3,1,1,0,1,2,758.75
0,3,1,1,1,2,4,1228
0,3,0,0,0,2,4,655.75
0,0,1,1,1,2,3,136
0,3,1,1,2,2,2,1219.75
0,3,1,3,1,2,5,1312.5
0,3,1,3,2,2,5,844
0,0,1,1,1,2,4,288.5
0,0,1,3,0,1,3,954.75
0,3,1,1,0,1,3,1195.5
0,3,0,1,0,2,3,850.5
0,0,0,1,1,2,3,1139
0,3,0,0,2,1,3,825.25
0,1,1,1,0,2,4,1065.25
0,0,1,1,1,2,4,926.5
0,3,1,1,2,2,3,962.25
0,1,1,0,2,1,3,642.5
0,0,1,3,0,2,5,1245.75
0,3,1,1,2,3,3,927.75
0,1,0,1,2,1,5,1149.25
0,0,1,3,1,2,4,893.25
0,1,1,1,1,2,5,1004.75
0,0,1,3,1,1,5,932
0,0,1,1,2,4,4,947
0,3,0,3,2,2,4,841.5
0,3,0,3,1,2,3,247.75
0,0,0,1,0,3,3,305.75
1,1,1,1,2,3,3,978.75
0,0,1,1,1,2,4,1232.75
0,3,1,1,0,2,3,719.5
0,3,1,1,0,4,3,1349.75
0,1,1,3,0,2,4,1221.25
0,0,0,0,0,2,4,927.5
0,0,0,3,0,3,4,240
0,1,1,0,2,3,4,350.75
0,0,1,1,2,2,2,932.75
0,1,0,1,1,1,3,980
1,3,0,1,0,2,3,259.75
0,3,0,3,1,1,4,280.25
0,1,1,1,1,2,3,1193.75
0,0,1,0,1,1,2,1067.75
0,1,1,1,2,2,5,1542
0,1,1,1,0,1,5,947
0,3,1,1,1,2,3,738.75
0,0,0,1,1,2,5,1153.75
0,3,1,1,1,2,5,755.5
0,3,0,0,1,2,3,1309.5
0,0,1,0,1,2,5,962.5
0,0,0,1,0,1,4,762
1,0,1,1,0,3,4,1246
0,3,1,1,1,1,2,865.25
0,3,1,1,1,2,2,1341.5
0,3,0,0,0,2,3,696.25
0,3,1,0,1,1,3,1087
0,0,1,3,2,1,3,1240
1,1,1,1,0,3,3,1002.5
0,1,1,0,0,1,4,1014.5
0,1,1,1,1,4,2,909
0,1,1,0,2,2,4,1059.75
0,1,1,3,0,1,3,1339.5
0,1,0,3,0,1,4,1226
0,3,0,3,0,3,3,1167.25
0,3,1,1,1,4,2,1351
0,1,0,1,0,1,3,823.75
1,1,1,0,1,1,3,998
0,3,1,3,2,2,2,1059.75
0,0,1,1,2,1,3,887.5
0,3,1,0,2,1,2,1209
1,0,0,0,1,2,3,1073
0,1,1,1,0,1,4,1152.25
0,3,1,3,1,2,1,964.5
0,1,1,3,2,2,2,952.25
0,0,0,1,0,2,4,1096.5
0,1,0,1,0,2,5,1105.75
0,1,1,1,1,2,4,906.75
0,1,1,3,2,1,4,1143
0,1,0,1,0,2,3,1235.5
0,3,1,3,2,2,3,1305.75
0,1,1,3,1,3,3,874.25
0,3,0,1,2,3,1,1333.25
0,3,0,1,1,2,5,313.75
0,1,0,1,2,2,4,198
0,3,1,3,0,2,4,925
0,3,1,3,1,2,2,935.5
0,3,0,1,1,1,6,128.5
0,1,1,1,2,1,3,1206
0,3,0,1,1,4,3,804
0,1,0,0,0,3,2,1115.75
0,1,0,1,2,1,3,998.75
