Customer Number,Income Level,Credit Rating,Credit Cards Held,Household Size,Average Balance
258,Low,Low,1,1,1058.5
259,Medium,Medium,3,3,855
260,Medium,Medium,1,5,1263
261,Medium,Medium,1,6,1094.25
262,High,High,2,2,228.25
263,Medium,Low,1,3,1265
264,Medium,Low,4,4,1034
265,Medium,Low,2,2,1210.25
266,Low,High,2,3,1150.5
267,Low,Medium,2,3,691.5
268,Medium,Medium,2,3,1296.25
269,Medium,Medium,2,3,690.5
270,Medium,Medium,1,4,1161.25
271,Low,Low,3,1,874.25
272,Low,High,2,2,1272.75
273,Low,Low,1,3,1028.75
274,Medium,Medium,1,4,677.25
275,High,Low,3,4,1053.25
276,Low,High,1,3,1022
277,Medium,Medium,3,3,1024
278,High,Low,1,1,887.25
279,Medium,Medium,2,4,1163.25
280,High,Low,2,3,139
281,Medium,High,4,3,1164.5
282,Low,Low,2,4,984
283,Low,Medium,2,4,735.75
284,Medium,High,2,3,1176
285,Medium,Medium,3,5,1504.5
286,Low,Low,4,3,881.25
287,Medium,Low,2,3,1168.5
288,Low,Low,3,3,1107.5
289,Medium,High,2,4,129.75
290,Low,High,3,1,1033.75
291,Medium,High,1,4,742.25
292,Medium,High,2,3,1423.25
293,Medium,High,1,4,239.25
294,Medium,High,2,3,1143.75
295,Medium,High,2,5,828
296,Medium,High,1,4,873.25
297,High,Medium,3,4,734
298,Medium,High,1,4,661.25
299,High,High,1,3,1159.25
300,Medium,Medium,3,2,1005.5
301,High,Low,2,4,896.25
302,Medium,High,2,5,1101.75
303,Low,Low,2,4,278
304,Medium,Medium,3,5,715.25
305,Medium,Low,1,5,1611.5
306,High,High,2,3,914.25
307,High,Low,1,4,253.25
308,Low,Medium,3,4,1035.25
309,Low,Medium,1,2,1261.75
310,Medium,Medium,2,3,275.5
311,Medium,Medium,3,5,755.5
312,Low,Medium,1,3,1295.25
313,Medium,Medium,3,2,944.5
314,Medium,High,2,2,1148.25
315,Medium,High,2,4,172.75
316,Medium,High,3,4,756
317,High,Low,1,4,1486.75
318,Low,Low,1,5,1076
319,Medium,High,2,5,1094
320,Low,Medium,2,4,287.25
321,Medium,Low,1,4,916.5
322,Low,Medium,3,3,1376.75
323,Medium,Low,2,4,648.75
324,Medium,High,1,4,0
325,Low,Low,2,4,683.25
326,Medium,Low,1,5,979.25
327,High,High,2,4,913.75
328,Medium,High,4,3,755.25
329,Medium,Low,2,2,1000.75
330,Medium,Low,2,5,1107
331,Medium,High,2,5,762.25
332,High,Medium,2,3,1223.5
333,Low,Medium,2,2,932.5
334,Medium,Low,2,3,967.75
335,Low,Low,2,4,222.75
336,Medium,Low,1,2,1003.75
337,Medium,High,2,3,1221
338,High,Low,1,4,915.5
339,Medium,Medium,3,3,984.25
340,Medium,High,2,2,1266.5
341,High,Medium,2,4,899.5
342,High,Medium,3,2,1224.5
343,Low,Low,2,5,1735.25
344,Medium,High,1,4,1057.75
345,Low,High,4,2,1196.25
346,Medium,Medium,2,5,219.5
347,Medium,High,2,3,1113.25
348,Medium,High,2,4,969.25
349,Medium,Low,1,5,823.25
350,Medium,Low,1,4,992.25
351,Medium,Low,2,4,750.75
352,Medium,High,1,4,1101.75
353,High,Low,3,3,756.75
354,High,Low,1,5,1092
355,Medium,Medium,3,4,1072
356,Low,High,2,3,910.25
357,Medium,Medium,3,5,884.5
358,Low,Medium,3,6,1007.75
359,High,High,2,3,1069
360,Low,Low,2,3,257.5
361,Medium,Low,1,3,1095.25
362,High,Low,2,3,1157.5
363,Medium,Medium,2,2,1015.75
364,Low,High,2,4,986.5
365,High,Medium,3,3,962
366,Medium,Medium,2,3,940.75
367,High,Medium,1,3,1049.75
368,Low,High,1,3,708.75
369,Low,High,4,4,1170.25
370,High,High,1,5,1255.5
371,Low,High,1,3,1246
372,Low,Low,1,3,911.5
373,Medium,High,2,4,885.75
374,Medium,Low,1,2,1101.25
375,Medium,Low,2,4,1018.75
376,Medium,High,2,3,1506
377,High,High,1,3,922
378,Low,Low,3,4,1157.75
379,Medium,High,2,3,1028.75
380,Medium,Low,2,2,1233
381,High,Medium,2,4,1749.25
382,High,High,1,3,946.25
383,High,Low,2,2,1762
384,Medium,Medium,1,3,1180
385,Medium,High,1,5,898.5
386,High,High,2,4,984
387,High,Medium,2,3,1100.5
388,High,High,1,3,765.25
389,Medium,Low,2,4,1076.75
390,Medium,Medium,2,5,970
391,Medium,High,1,4,1206
392,Low,High,2,3,292
393,Medium,Low,2,4,1001
394,Medium,Medium,1,2,920.25
395,Medium,High,2,1,925.75
396,High,Medium,1,4,673.75
397,Medium,Low,2,4,996.25
398,Low,Medium,2,5,246
399,Medium,Medium,1,4,1135.25
400,Medium,High,2,3,929
401,High,High,2,3,1241
402,Medium,Low,2,5,790.75
403,Low,Low,2,4,1364.75
404,High,High,3,3,785.5
405,Medium,Medium,2,3,1074.25
406,Medium,High,2,4,1041
407,Medium,Medium,1,4,1097
408,Medium,High,4,2,1130
409,Low,High,1,1,1186.75
410,High,Low,1,3,1058.5
411,Medium,Low,3,4,1048.75
412,High,Low,2,3,1036
413,Medium,Low,1,3,841.75
414,Medium,Medium,2,3,753.75
415,Low,High,3,4,1009
416,High,Medium,2,1,1340
417,Medium,Low,4,3,782.75
418,High,Low,4,3,1162.25
419,Medium,High,3,3,250.5
420,Low,Low,2,4,966.75
421,High,High,2,3,1233.5
422,Medium,Medium,3,2,1778.75
423,Low,Low,2,3,954.75
424,Medium,Low,1,4,1327.25
425,Medium,Medium,2,5,966
426,Low,Low,2,5,1028.25
427,Medium,High,1,4,795.5
428,Medium,Low,2,4,1171.75
429,Low,Low,1,5,686
430,Medium,Low,1,4,1094.25
431,Medium,Medium,2,4,107.75
432,High,Low,2,3,962.5
433,Low,High,3,5,783.75
434,Medium,Medium,2,4,1255.75
435,Medium,Low,1,3,1255.75
436,Medium,High,2,4,1005.25
437,Medium,High,2,5,821.25
438,Medium,Medium,1,2,635.25
439,Low,Medium,2,3,1154
440,Low,Low,1,3,997.25
441,High,Low,1,5,1106.25
442,Medium,Low,2,4,179.5
443,Medium,High,2,6,946.75
444,Low,High,1,4,1096.25
445,High,Low,2,2,279
446,Medium,High,1,4,285
447,Medium,High,3,3,1100.5
448,Low,Low,1,4,1034.75
449,High,Medium,1,4,1113.25
450,High,High,2,4,1262.25
451,High,High,1,5,1159
452,Medium,Medium,1,3,980
453,Medium,Low,1,6,1085.5
454,Low,High,1,2,812.25
455,Medium,Medium,1,3,237.75
456,Low,Low,3,3,1055.5
457,Low,Medium,2,2,941.25
458,Low,Low,2,2,1005
459,Medium,Low,2,4,1066.25
460,Medium,High,2,3,1452.25
461,Medium,Low,2,4,137
462,High,Low,3,3,781
463,Low,Low,1,3,900.75
464,Medium,High,2,4,1135
465,Medium,Medium,3,3,1054.25
466,Medium,Low,2,4,1191.5
467,Medium,Low,3,4,938.25
468,Medium,High,2,3,794.75
469,Medium,Medium,3,4,983.25
470,Medium,Low,1,4,672.5
471,Medium,High,3,5,956.25
472,Low,Medium,2,5,1179
473,Medium,Medium,1,3,1168
474,High,High,3,4,974
475,Low,Medium,2,3,1071.75
476,Medium,Medium,3,5,1164.5
477,High,Low,1,3,806.75
478,Medium,High,2,3,1054.75
479,High,Low,1,2,1229.5
480,Medium,Medium,2,4,1122
481,Medium,Medium,1,5,832.25
482,Medium,High,1,1,822
483,Low,Medium,3,2,751
484,High,Medium,3,4,1449.5
485,High,Medium,2,2,1018.75
486,High,Medium,2,2,1262.75
487,High,Medium,3,6,1388
488,High,Medium,3,5,770
489,Low,High,2,3,1357.25
490,Medium,High,3,5,1131.5
491,Medium,Low,2,3,831.5
492,Medium,Medium,2,3,1032.75
493,Low,Low,3,2,288.25
494,Medium,Low,2,4,709
495,Medium,High,1,2,612.75
496,Medium,Low,1,4,1220
497,Medium,High,2,4,1153.75
498,High,High,3,3,1045.5
499,Medium,Medium,2,3,1083
500,Medium,Low,2,2,1070.75
501,Low,Low,2,3,886.25
502,Low,Low,1,3,259
503,Low,Low,2,1,1215.75
504,Medium,Medium,2,3,258.75
505,High,High,4,4,1056.25
506,High,Medium,2,5,845
507,Medium,High,1,4,444.75
508,Medium,Medium,2,4,663
509,Low,High,2,4,820
510,Medium,High,1,3,947.75
511,Medium,Low,2,3,1466.75
512,Low,Low,3,5,1405
513,Low,Low,2,4,1687.25
514,Medium,High,2,2,977.75
515,Medium,Medium,1,4,1293.5
516,Medium,Medium,3,4,1035.25
517,Low,High,3,2,973
518,Low,High,3,5,177.25
519,Medium,Low,2,3,1027.75
520,High,High,1,4,764.75
521,Medium,Medium,2,4,1046.75
522,Medium,Medium,1,4,237.5
523,Medium,High,1,3,1325.75
524,Medium,Medium,1,4,865.25
525,Low,Medium,1,3,977
526,High,Low,2,3,753.75
527,Medium,Medium,4,3,1008.75
528,High,Medium,3,3,208.25
529,High,High,2,2,1016.5
530,Medium,Low,2,6,1039
531,Medium,Medium,2,3,1252
532,Medium,Medium,1,4,816.75
533,Medium,Low,1,4,1066
534,Low,Low,2,3,1097.5
535,Low,Low,2,4,1014.5
536,High,High,1,2,1174
537,Medium,High,1,4,817
538,High,Low,2,3,986.75
539,Medium,High,1,3,920.25
540,Medium,Medium,2,4,715.75
541,Medium,Medium,1,2,203
542,High,Low,1,5,1245.5
543,Medium,High,1,2,1173.5
544,High,Low,1,5,1007.25
545,Medium,High,1,5,308
546,Low,Medium,3,3,330.25
547,High,Low,2,4,370.25
548,High,Medium,2,4,946.5
549,Medium,Low,1,5,1028.75
550,Low,High,1,5,274
551,Low,High,2,4,1021
552,High,High,2,6,255.25
553,High,Medium,2,4,1101
554,Low,High,3,2,896.75
555,Medium,High,1,4,898.75
556,Medium,High,2,4,1070
557,Medium,Low,3,4,1037.25
558,Low,High,3,2,1258.75
559,High,Medium,2,5,1351.5
560,Low,Low,3,3,1166.75
561,Low,Medium,2,5,303
562,Low,High,2,3,976
563,Low,Low,2,4,960.75
564,Low,Low,1,4,1000.25
565,Medium,Low,2,5,1053
566,Medium,Low,2,4,912.5
567,Medium,Low,1,4,259.5
568,High,Medium,1,4,1232.5
569,Low,Medium,3,3,140.75
570,Medium,Low,2,5,1058.25
571,Medium,High,1,4,939.75
572,Medium,Low,2,5,1059.25
573,Medium,High,1,5,1042.25
574,Low,Low,2,2,755.75
575,High,Low,4,4,1110.5
576,Low,High,2,5,997.75
577,High,Low,3,4,945.25
578,Medium,Medium,2,3,895
579,Low,Medium,2,4,1004.75
580,Low,High,2,3,1210.5
581,Low,Low,2,3,953.75
582,Low,Medium,3,6,930.5
583,Medium,Medium,3,3,1045.75
584,Medium,Medium,2,2,341.5
585,High,High,2,3,687
586,Low,High,1,4,1223
587,Low,Medium,2,4,620.5
588,High,Low,2,2,1126.25
589,Medium,Low,2,3,956.5
590,Medium,Low,3,1,251.75
591,Low,Low,2,3,1241.75
592,Medium,Low,2,3,112.75
593,High,High,2,3,1285.25
594,High,Low,2,2,1062
595,High,High,2,4,1141.25
596,Medium,High,2,3,1133.5
597,High,Low,1,4,1335.75
598,Medium,High,1,2,206
599,Medium,High,2,2,1098.25
600,Medium,Medium,2,2,1308
601,High,Low,2,4,1292.25
602,High,Medium,2,2,1147.25
603,Low,Low,2,4,1035.25
604,Low,Low,1,3,850.75
605,Medium,Medium,1,3,675.25
606,High,Medium,1,4,175.75
607,Medium,Low,2,5,840.25
608,High,Medium,2,3,225.5
609,Low,Low,2,2,1422.75
610,Medium,High,2,3,735.75
611,Low,Low,1,5,825.5
612,Low,Low,3,4,843
613,High,Medium,3,3,1006.75
614,Medium,Low,1,4,1155
615,Medium,Medium,2,4,1045.5
616,Medium,Low,2,3,1033.25
617,Medium,Medium,2,5,342.5
618,Medium,Low,1,3,833.75
619,High,Low,1,5,259.25
620,Low,Medium,1,4,1154.75
621,Low,High,3,3,732.75
622,Medium,Medium,1,2,979
623,Medium,High,2,5,1092
624,High,Low,1,3,1082.25
625,Medium,Medium,2,3,928.5
626,High,Medium,2,3,985.75
627,Low,Low,2,4,1091.25
628,High,Medium,1,6,961.5
629,High,High,2,5,1492
630,Medium,High,1,4,1206.5
631,Low,High,2,4,869.5
632,Medium,Low,2,5,955.75
633,Low,Low,2,4,831.5
634,Medium,High,3,4,1351
635,Medium,Low,2,4,1124
636,Medium,High,2,4,1143.5
637,Medium,High,1,2,235.5
638,Medium,Medium,1,5,1014.25
639,High,Medium,1,4,1034.75
640,Medium,Low,2,3,1074.75
641,High,Medium,3,2,1611.75
642,Low,Medium,3,3,142
643,Medium,Medium,3,3,1177.75
644,Medium,Medium,3,4,1169.5
645,Medium,Low,2,2,1301.25
646,Medium,High,3,3,1403.25
647,High,High,1,2,1113
648,Low,Low,1,3,1175.25
649,Medium,High,2,3,1133.75
650,Low,High,2,4,164.75
651,High,Medium,2,2,1343
652,Medium,High,3,3,931
653,Medium,Medium,1,5,1000.25
654,High,Low,1,3,1015.75
655,Medium,Medium,2,3,931.5
656,Medium,Medium,1,4,1376.25
657,High,High,1,6,1186.25
658,Low,Low,2,3,970.75
659,Medium,High,1,4,1172
660,Medium,Medium,1,3,1085
661,Low,Low,2,4,1084
662,Low,Low,2,4,178.5
663,High,High,1,4,1664.25
664,Low,Medium,2,2,1021.5
665,High,High,2,3,1047.75
666,High,Medium,3,4,984.5
667,Medium,Low,2,6,1489.25
668,Medium,Low,2,3,678.25
669,Low,Low,2,3,964
670,Low,Low,2,6,140
671,Medium,Low,2,4,951.25
672,Low,Low,2,4,987.25
673,Medium,Medium,1,3,1087.75
674,Medium,Low,1,4,249
675,Medium,Medium,1,4,903
676,Medium,Medium,2,4,1023.5
677,High,Medium,1,3,959.75
678,Medium,Medium,2,1,892.75
679,High,Medium,3,3,268
680,Medium,Low,3,3,1073.5
681,Medium,High,1,4,1127.75
682,Medium,Low,1,3,308
683,Medium,High,2,4,671
684,Medium,Low,1,2,758.75
685,Medium,Medium,2,4,1228
686,Low,Low,2,4,655.75
687,Medium,Medium,2,3,136
688,Medium,High,2,2,1219.75
689,High,Medium,2,5,1312.5
690,High,High,2,5,844
691,Medium,Medium,2,4,288.5
692,High,Low,1,3,954.75
693,Medium,Low,1,3,1195.5
694,Medium,Low,2,3,850.5
695,Medium,Medium,2,3,1139
696,Low,High,1,3,825.25
697,Medium,Low,2,4,1065.25
698,Medium,Medium,2,4,926.5
699,Medium,High,2,3,962.25
700,Low,High,1,3,642.5
701,High,Low,2,5,1245.75
702,Medium,High,3,3,927.75
703,Medium,High,1,5,1149.25
704,High,Medium,2,4,893.25
705,Medium,Medium,2,5,1004.75
706,High,Medium,1,5,932
707,Medium,High,4,4,947
708,High,High,2,4,841.5
709,High,Medium,2,3,247.75
710,Medium,Low,3,3,305.75
711,Medium,High,3,3,978.75
712,Medium,Medium,2,4,1232.75
713,Medium,Low,2,3,719.5
714,Medium,Low,4,3,1349.75
715,High,Low,2,4,1221.25
716,Low,Low,2,4,927.5
717,High,Low,3,4,240
718,Low,High,3,4,350.75
719,Medium,High,2,2,932.75
720,Medium,Medium,1,3,980
721,Medium,Low,2,3,259.75
722,High,Medium,1,4,280.25
723,Medium,Medium,2,3,1193.75
724,Low,Medium,1,2,1067.75
725,Medium,High,2,5,1542
726,Medium,Low,1,5,947
727,Medium,Medium,2,3,738.75
728,Medium,Medium,2,5,1153.75
729,Medium,Medium,2,5,755.5
730,Low,Medium,2,3,1309.5
731,Low,Medium,2,5,962.5
732,Medium,Low,1,4,762
733,Medium,Low,3,4,1246
734,Medium,Medium,1,2,865.25
735,Medium,Medium,2,2,1341.5
736,Low,Low,2,3,696.25
737,Low,Medium,1,3,1087
738,High,High,1,3,1240
739,Medium,Low,3,3,1002.5
740,Low,Low,1,4,1014.5
741,Medium,Medium,4,2,909
742,Low,High,2,4,1059.75
743,High,Low,1,3,1339.5
744,High,Low,1,4,1226
745,High,Low,3,3,1167.25
746,Medium,Medium,4,2,1351
747,Medium,Low,1,3,823.75
748,Low,Medium,1,3,998
749,High,High,2,2,1059.75
750,Medium,High,1,3,887.5
751,Low,High,1,2,1209
752,Low,Medium,2,3,1073
753,Medium,Low,1,4,1152.25
754,High,Medium,2,1,964.5
755,High,High,2,2,952.25
756,Medium,Low,2,4,1096.5
757,Medium,Low,2,5,1105.75
758,Medium,Medium,2,4,906.75
759,High,High,1,4,1143
760,Medium,Low,2,3,1235.5
761,High,High,2,3,1305.75
762,High,Medium,3,3,874.25
763,Medium,High,3,1,1333.25
764,Medium,Medium,2,5,313.75
765,Medium,High,2,4,198
766,High,Low,2,4,925
767,High,Medium,2,2,935.5
768,Medium,Medium,1,6,128.5
769,Medium,High,1,3,1206
770,Medium,Medium,4,3,804
771,Low,Low,3,2,1115.75
772,Medium,High,1,3,998.75
773,Low,High,1,3,968.75
774,High,Medium,2,2,1190
775,Medium,Low,2,5,1343
776,High,Medium,2,3,1158.25
777,Medium,High,1,3,203.75
778,Medium,Medium,1,1,894.25
779,Low,High,3,4,1246.5
780,Medium,Medium,1,5,1157
781,Low,High,1,2,692.25
782,Medium,Low,1,3,1291
783,High,Low,2,4,1045.5
784,Low,Low,1,4,1210.75
785,Medium,High,1,3,783.5
786,High,High,1,5,1148
787,Low,Medium,2,5,1211
788,High,Medium,1,1,807.5
789,High,Low,1,2,1099.75
790,High,High,2,5,1135
791,High,Medium,3,4,1200.25
792,Medium,Medium,3,4,1318.5
793,Medium,High,2,2,1333.75
794,High,High,2,4,1070.75
795,High,Medium,1,3,1054
796,Medium,Low,2,3,758
797,Medium,Low,2,3,1257.75
798,Low,High,2,4,1072
799,High,Medium,2,2,700
800,Medium,Medium,1,2,1059.5
801,Low,Medium,1,4,832.25
802,Low,High,2,3,976
803,Low,High,2,3,116.75
804,Low,High,2,2,828.25
805,Low,Low,3,5,1106.25
806,Low,Low,1,4,1000.5
807,Medium,Medium,4,6,956
808,Low,High,1,3,242.75
809,Medium,Low,2,4,1378.5
810,Medium,High,2,1,1153.25
811,Low,Medium,1,3,654
812,Low,Low,3,4,1180.25
813,Medium,Low,2,3,979.5
814,Medium,Medium,1,3,1495.5
815,Medium,Low,1,5,1275.75
816,High,Low,2,4,326.25
817,High,High,2,3,1123.5
818,High,High,1,4,1013.25
819,High,High,2,4,777.75
820,Medium,Low,2,4,1218.25
821,Medium,High,3,2,890.75
822,High,Medium,2,2,1139.5
823,Medium,Low,2,4,1138
824,Medium,High,2,4,185.5
825,Medium,Medium,2,4,275.25
826,High,Medium,3,4,825.75
827,Medium,High,3,3,951.5
828,High,High,1,2,1040
829,Medium,High,1,4,237.75
830,Low,Medium,2,3,394
831,High,Low,2,3,1141.75
832,Medium,High,1,3,1348.75
833,Medium,Low,3,4,788
834,Low,High,2,1,987.25
835,Low,Low,1,4,1167.25
836,Low,Medium,1,3,1106
837,Medium,Low,2,3,673.75
838,Medium,Low,1,6,701.25
839,Medium,Medium,3,2,802.25
840,Medium,High,2,4,101.25
841,Medium,Low,2,2,192.25
842,Low,High,2,3,200
843,Low,Medium,2,2,964.25
844,Low,Low,2,4,676.25
845,Medium,Medium,2,4,1091
846,Low,High,2,4,291
847,Medium,High,2,3,886.75
848,Medium,Low,1,3,1131.25
849,Medium,Low,2,4,323
850,High,Low,2,5,1296.75
851,Low,Medium,2,4,1050.5
852,Medium,High,2,3,1141.5
853,High,Medium,1,2,1114.75
854,Medium,High,1,4,987
855,High,Medium,3,3,1069.5
856,Low,Low,3,2,1041
857,High,Low,3,3,837
